txn_id,grantor_id,date,vendor,category,amount_usd,receipt_ref,approval_flag,notes
GRC-0017,opal_city,2025-06-05,Local Venue Hire Co.,stationery,105.38,RCP-NONE,approved,Stationery expense for programme activities
GRC-0018,opal_city,2025-08-20,Community Health Partners,equipment,239.59,RCP-NONE,approved,Equipment expense for programme activities
GRC-0019,opal_city,2025-10-25,Civic Engagement LLC,stationery,194.6,RCP-NONE,approved,Stationery expense for programme activities
GRC-0020,opal_city,2025-01-15,Community Health Partners,equipment,343.01,RCP-NONE,pending,Equipment expense for programme activities
GRC-0021,opal_city,2025-05-15,Civic Engagement LLC,stationery,198.1,RCP-NONE,pending,Stationery expense for programme activities
GRC-0022,opal_city,2025-05-20,Youth Development Partners,catering,182.86,RCP-NONE,approved,Catering expense for programme activities
GRC-0023,opal_city,2025-01-05,Affordable Housing Alliance,stationery,164.07,RCP-NONE,pending,Stationery expense for programme activities
GRC-0024,opal_city,2025-12-20,Affordable Housing Alliance,stationery,197.88,RCP-NONE,pending,Stationery expense for programme activities
GRC-0025,opal_city,2025-01-20,City Transport Services,travel_domestic,215.26,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0026,opal_city,2025-01-15,Community Hall Opal City,stationery,130.1,RCP-NONE,approved,Stationery expense for programme activities
GRC-0027,opal_city,2025-12-10,Local Training Institute,stationery,156.09,RCP-NONE,approved,Stationery expense for programme activities
GRC-0028,opal_city,2025-08-25,Public Health Partners,venue_hire,558.62,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0029,opal_city,2025-01-28,Public Health Partners,venue_hire,603.07,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0030,opal_city,2025-02-10,Neighbourhood Services Ltd.,equipment,466.33,RCP-NONE,pending,Equipment expense for programme activities
GRC-0031,opal_city,2025-07-14,Nairobi Office Supplies Ltd.,stationery,320.0,RCP-004,approved,Office stationery for OCCF programme; eligible per §3.1
GRC-0032,opal_city,2025-11-15,Opal City Logistics,venue_hire,748.88,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0033,opal_city,2025-04-05,Civic Engagement LLC,travel_domestic,130.53,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0034,opal_city,2025-12-25,Civic Education Foundation,catering,353.23,RCP-NONE,approved,Catering expense for programme activities
GRC-0035,opal_city,2025-10-25,Public Health Partners,catering,312.22,RCP-NONE,approved,Catering expense for programme activities
GRC-0036,opal_city,2025-03-15,Local Skills Centre,travel_domestic,248.27,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0037,opal_city,2025-05-28,Community Outreach Partners,stationery,103.11,RCP-NONE,approved,Stationery expense for programme activities
GRC-0038,opal_city,2025-03-05,Civic Education Foundation,venue_hire,518.98,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0039,opal_city,2025-04-10,Neighbourhood Services Ltd.,equipment,196.86,RCP-NONE,approved,Equipment expense for programme activities
GRC-0040,opal_city,2025-03-05,Local Venue Hire Co.,travel_domestic,73.31,RCP-NONE,pending,Travel Domestic expense for programme activities
GRC-0041,opal_city,2025-12-28,Local Skills Centre,catering,123.99,RCP-NONE,approved,Catering expense for programme activities
GRC-0042,opal_city,2025-10-05,Community Health Partners,travel_domestic,152.7,RCP-NONE,pending,Travel Domestic expense for programme activities
GRC-0043,opal_city,2025-03-10,Public Health Partners,catering,224.98,RCP-NONE,approved,Catering expense for programme activities
GRC-0044,opal_city,2025-03-10,Local Venue Hire Co.,equipment,283.23,RCP-NONE,pending,Equipment expense for programme activities
GRC-0045,opal_city,2025-06-28,Youth Development Partners,training,201.7,RCP-NONE,pending,Training expense for programme activities
GRC-0046,opal_city,2025-12-28,Opal City Office Supplies,catering,489.82,RCP-NONE,approved,Catering expense for programme activities
GRC-0047,opal_city,2025-06-25,Opal City Office Supplies,equipment,415.2,RCP-NONE,approved,Equipment expense for programme activities
GRC-0048,opal_city,2025-08-10,Local Venue Hire Co.,equipment,389.72,RCP-NONE,approved,Equipment expense for programme activities
GRC-0049,opal_city,2025-09-20,Civic Engagement LLC,stationery,126.27,RCP-NONE,approved,Stationery expense for programme activities
GRC-0050,opal_city,2025-02-28,Public Health Partners,equipment,469.29,RCP-NONE,approved,Equipment expense for programme activities
GRC-0051,opal_city,2025-04-15,Local Venue Hire Co.,venue_hire,562.92,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0052,opal_city,2025-02-25,Community Health Partners,training,499.58,RCP-NONE,approved,Training expense for programme activities
GRC-0053,opal_city,2025-02-25,Affordable Housing Alliance,catering,119.9,RCP-NONE,approved,Catering expense for programme activities
GRC-0054,opal_city,2025-10-15,Community Outreach Partners,venue_hire,588.53,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0055,opal_city,2025-12-05,Stars Entertainment LLC,entertainment,450.0,RCP-NONE,flagged,Year-end celebration event; entertainment category excluded per OCCF §2.5
GRC-0056,opal_city,2025-10-10,Local Training Institute,catering,145.53,RCP-NONE,approved,Catering expense for programme activities
GRC-0057,opal_city,2025-12-10,Opal City Printers,equipment,325.39,RCP-NONE,approved,Equipment expense for programme activities
GRC-0058,opal_city,2025-02-10,Opal City Office Supplies,venue_hire,987.56,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0059,opal_city,2025-06-15,Opal City Printers,stationery,160.45,RCP-NONE,approved,Stationery expense for programme activities
GRC-0060,opal_city,2025-10-10,Community Hall Opal City,travel_domestic,174.35,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0061,opal_city,2025-11-25,Local Skills Centre,catering,381.47,RCP-NONE,pending,Catering expense for programme activities
GRC-0062,opal_city,2025-01-28,Community Outreach Partners,training,182.43,RCP-NONE,approved,Training expense for programme activities
GRC-0063,opal_city,2025-10-05,City Resource Centre,travel_domestic,265.53,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0064,opal_city,2025-09-20,Opal City Office Supplies,venue_hire,431.61,RCP-NONE,pending,Venue Hire expense for programme activities
GRC-0065,opal_city,2025-10-25,Local Venue Hire Co.,stationery,166.22,RCP-NONE,approved,Stationery expense for programme activities
GRC-0066,opal_city,2025-09-20,Public Health Partners,travel_domestic,110.83,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0067,opal_city,2025-05-25,Civic Education Foundation,training,485.61,RCP-NONE,pending,Training expense for programme activities
GRC-0068,opal_city,2025-03-15,Public Health Partners,travel_domestic,177.62,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0069,opal_city,2025-04-05,Youth Development Partners,training,307.99,RCP-NONE,approved,Training expense for programme activities
GRC-0070,opal_city,2025-04-10,Civic Engagement LLC,training,238.77,RCP-NONE,approved,Training expense for programme activities
GRC-0071,opal_city,2025-10-20,Civic Education Foundation,equipment,287.76,RCP-NONE,pending,Equipment expense for programme activities
GRC-0072,opal_city,2025-11-08,Sunrise Catering Services,catering,680.0,RCP-006,approved,Community Health Fair catering 2025-11-08; programme event with signed agenda
GRC-0073,opal_city,2025-10-15,Civic Engagement LLC,equipment,220.13,RCP-NONE,approved,Equipment expense for programme activities
GRC-0074,opal_city,2025-06-28,Community Health Partners,equipment,215.07,RCP-NONE,approved,Equipment expense for programme activities
GRC-0075,opal_city,2025-10-20,Community Health Partners,travel_domestic,127.6,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0076,opal_city,2025-02-28,Public Health Partners,training,184.53,RCP-NONE,approved,Training expense for programme activities
GRC-0077,opal_city,2025-01-28,Opal City Logistics,catering,321.73,RCP-NONE,pending,Catering expense for programme activities
GRC-0078,opal_city,2025-07-28,Neighbourhood Services Ltd.,catering,360.73,RCP-NONE,approved,Catering expense for programme activities
GRC-0079,opal_city,2025-08-10,Civic Engagement LLC,travel_domestic,162.63,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0080,opal_city,2025-10-15,Opal City Logistics,stationery,36.65,RCP-NONE,approved,Stationery expense for programme activities
GRC-0081,opal_city,2025-08-28,Opal City Printers,catering,163.5,RCP-NONE,approved,Catering expense for programme activities
GRC-0082,opal_city,2025-02-05,Civic Education Foundation,training,455.5,RCP-NONE,approved,Training expense for programme activities
GRC-0083,opal_city,2025-09-10,Opal City Printers,travel_domestic,189.49,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0084,opal_city,2025-04-10,Civic Education Foundation,equipment,466.48,RCP-NONE,approved,Equipment expense for programme activities
GRC-0085,opal_city,2025-08-15,Opal City Printers,equipment,153.74,RCP-NONE,pending,Equipment expense for programme activities
GRC-0086,opal_city,2025-03-25,Civic Engagement LLC,equipment,351.61,RCP-NONE,approved,Equipment expense for programme activities
GRC-0087,opal_city,2025-08-05,City Transport Services,venue_hire,714.79,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0088,opal_city,2025-09-18,Office Tech Suppliers,equipment,780.0,RCP-NONE,flagged,Equipment purchase USD 780; exceeds OCCF per-item cap of USD 500 per §3.4
GRC-0089,opal_city,2025-12-10,Civic Engagement LLC,equipment,478.92,RCP-NONE,approved,Equipment expense for programme activities
GRC-0090,opal_city,2025-01-15,Local Venue Hire Co.,venue_hire,606.79,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0091,opal_city,2025-11-15,Opal City Catering Co.,stationery,88.09,RCP-NONE,approved,Stationery expense for programme activities
GRC-0092,opal_city,2025-07-10,Local Training Institute,stationery,56.34,RCP-NONE,approved,Stationery expense for programme activities
GRC-0093,opal_city,2025-12-10,Community Health Partners,catering,434.05,RCP-NONE,approved,Catering expense for programme activities
GRC-0094,opal_city,2025-09-05,City Transport Services,catering,152.42,RCP-NONE,approved,Catering expense for programme activities
GRC-0095,opal_city,2025-04-20,Opal City Logistics,equipment,393.02,RCP-NONE,approved,Equipment expense for programme activities
GRC-0096,opal_city,2025-06-05,Opal City Logistics,training,454.36,RCP-NONE,approved,Training expense for programme activities
GRC-0097,opal_city,2025-05-28,Local Skills Centre,equipment,397.84,RCP-NONE,approved,Equipment expense for programme activities
GRC-0098,opal_city,2025-05-05,Local Venue Hire Co.,venue_hire,923.18,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0099,opal_city,2025-10-28,Opal City Printers,catering,493.78,RCP-NONE,pending,Catering expense for programme activities
GRC-0100,opal_city,2025-04-15,Opal City Catering Co.,catering,310.98,RCP-NONE,pending,Catering expense for programme activities
GRC-0101,opal_city,2025-02-05,Neighbourhood Services Ltd.,stationery,178.41,RCP-NONE,pending,Stationery expense for programme activities
GRC-0102,opal_city,2025-12-05,Local Training Institute,catering,473.72,RCP-NONE,approved,Catering expense for programme activities
GRC-0103,opal_city,2025-11-28,City Transport Services,stationery,76.37,RCP-NONE,pending,Stationery expense for programme activities
GRC-0104,opal_city,2025-05-25,Opal City Logistics,travel_domestic,286.6,RCP-NONE,pending,Travel Domestic expense for programme activities
GRC-0201,opal_city,2025-10-22,British Airways,travel_intl,1120.0,RCP-NONE,flagged,International travel; OCCF §4.1 restricts reimbursement to domestic travel only
