study_id,product_tested,ingredient,study_type,control_group,randomized,blinded,sample_size,duration_weeks,primary_endpoint,result_direction,statistical_significance_p,clinical_meaningful,ftc_evidence_tier,standalone_sufficient_for_claim,claim_type_supported,limitations,funding_source,publication_year,journal,ftc_assessment
STU-0094,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),consumer_survey,NO,NO,NO,124,34,cognitive_performance,neutral,0.5327,NO,Tier_3_insufficient,NO,energy_metabolism,small sample size; short duration; healthy volunteers only; no blinding,Industry + independent verification,2019,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0095,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,29,11,immune_markers_IgA,negative,0.2243,NO,Tier_2_pilot,NO,immune_function,no product-specific testing; small sample size,Academic institution,2018,JAMA,Insufficient for immune_function claim under FTC standards
STU-0096,ProBio+ Daily component,Folate (L-Methylfolate),meta_analysis,YES,NO,NO,214,37,bloating_score,positive,0.1814,NO,Tier_1_meta_analysis,YES,digestive_health,industry funded; high dropout rate,NIH grant,2025,Am J Clinical Nutrition,Adequate for digestive_health claim under FTC standards
STU-0097,ProBio+ Daily component,Niacin (Niacinamide),RCT,YES,YES,YES,112,32,antioxidant_capacity,neutral,0.7459,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,healthy volunteers only; no control group; no blinding; small sample size,EU research fund,2016,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0098,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,79,24,bloating_score,negative,0.2019,NO,Tier_2_pilot,NO,digestive_health,small sample size,EU research fund,2024,JAMA,Insufficient for digestive_health claim under FTC standards
STU-0099,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,373,34,inflammatory_markers,positive,0.0204,NO,Tier_2_pilot,NO,energy_metabolism,short duration; industry funded,Industry + independent verification,2015,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0100,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),cohort_study,NO,NO,NO,438,4,energy_levels_self_report,negative,0.1777,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no control group; surrogate endpoints only; industry funded,NIH grant,2015,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0101,ProBio+ Daily component,Lactobacillus rhamnosus GG,pilot_study,NO,NO,NO,175,8,URTI_frequency,positive,0.161,NO,Tier_2_pilot,NO,energy_metabolism,industry funded; healthy volunteers only; surrogate endpoints only,NIH grant,2020,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0102,ProBio+ Daily component,Pantothenic Acid,open_label_trial,NO,NO,NO,253,10,inflammatory_markers,negative,0.0127,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing,Industry (manufacturer),2018,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0103,ProBio+ Daily component,Bifidobacterium lactis Bi-07,animal_model,NO,NO,NO,286,6,bioavailability,neutral,0.1502,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; single center,Industry + independent verification,2023,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0104,ProBio+ Daily component,Riboflavin,consumer_survey,NO,NO,NO,209,45,cognitive_performance,neutral,0.1597,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding,NIH grant,2016,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0105,ProBio+ Daily component,Riboflavin,cohort_study,NO,NO,NO,268,45,stool_consistency,positive,0.1161,NO,Tier_2_observational,CONDITIONAL,digestive_health,short duration; small sample size; single center; high dropout rate,NIH grant,2015,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0106,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),consumer_survey,NO,NO,NO,309,49,cognitive_performance,positive,0.1317,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; small sample size; no product-specific testing; single center,NIH grant,2024,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0107,ProBio+ Daily component,Lactobacillus rhamnosus GG,consumer_survey,NO,NO,NO,314,26,gut_microbiome_diversity,positive,0.0101,NO,Tier_3_insufficient,NO,digestive_health,single center,NIH grant,2023,BMJ Open,Insufficient for digestive_health claim under FTC standards
STU-0108,ProBio+ Daily component,Niacin (Niacinamide),animal_model,NO,NO,NO,50,8,skin_hydration,neutral,0.4747,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; industry funded,NIH grant,2023,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0109,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),consumer_survey,NO,NO,NO,432,26,URTI_frequency,negative,0.0451,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only,Academic institution,2022,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0110,ProBio+ Daily component,Riboflavin,cohort_study,NO,NO,NO,55,45,bloating_score,negative,0.0881,NO,Tier_2_observational,CONDITIONAL,digestive_health,surrogate endpoints only; healthy volunteers only; small sample size; no control group,Industry + independent verification,2022,Probiotics & Antimicrobials,Insufficient for digestive_health claim under FTC standards
STU-0111,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,446,13,bioavailability,neutral,0.4165,NO,Tier_2_pilot,NO,energy_metabolism,no control group; industry funded; high dropout rate; short duration,NIH grant,2017,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0112,ProBio+ Daily component,Lactobacillus plantarum 299v,RCT,YES,YES,NO,272,13,skin_hydration,positive,0.0547,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no control group; high dropout rate,Industry (manufacturer),2024,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0113,ProBio+ Daily component,Lactobacillus plantarum 299v,meta_analysis,YES,NO,NO,59,16,inflammatory_markers,neutral,0.7339,NO,Tier_1_meta_analysis,YES,energy_metabolism,small sample size; industry funded; surrogate endpoints only,Industry (manufacturer),2021,JAMA,Adequate for energy_metabolism claim under FTC standards
STU-0114,ProBio+ Daily component,Folate (L-Methylfolate),consumer_survey,NO,NO,NO,439,52,NK_cell_activity,positive,0.175,NO,Tier_3_insufficient,NO,immune_function,healthy volunteers only; high dropout rate; small sample size; short duration,EU research fund,2022,Probiotics & Antimicrobials,Insufficient for immune_function claim under FTC standards
STU-0115,ProBio+ Daily component,Folate (L-Methylfolate),in_vitro,NO,NO,NO,0,8,skin_hydration,positive,0.0579,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; industry funded,Industry + independent verification,2021,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0116,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),animal_model,NO,NO,NO,445,1,energy_levels_self_report,positive,0.0113,NO,Tier_3_insufficient,NO,energy_metabolism,industry funded; small sample size; healthy volunteers only; no product-specific testing,Industry (manufacturer),2021,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0117,ProBio+ Daily component,Lactobacillus plantarum 299v,cohort_study,NO,NO,NO,40,16,stool_consistency,negative,0.0467,NO,Tier_2_observational,CONDITIONAL,digestive_health,surrogate endpoints only; no control group; small sample size,Industry (manufacturer),2022,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0118,ProBio+ Daily component,Folate (L-Methylfolate),cohort_study,NO,NO,NO,177,27,antioxidant_capacity,positive,0.0273,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,industry funded; no control group; no product-specific testing,Academic institution,2020,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0119,ProBio+ Daily component,Bifidobacterium lactis Bi-07,RCT,YES,YES,YES,135,11,inflammatory_markers,positive,0.0743,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,single center; no control group; no product-specific testing; small sample size,Industry (manufacturer),2019,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0120,ProBio+ Daily component,Niacin (Niacinamide),RCT,YES,YES,YES,343,31,URTI_frequency,positive,0.1512,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,surrogate endpoints only; no blinding; single center,NIH grant,2018,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0121,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,58,5,immune_markers_IgA,positive,0.1593,NO,Tier_2_pilot,NO,immune_function,single center; industry funded,Academic institution,2015,Nutrients,Insufficient for immune_function claim under FTC standards
STU-0122,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),RCT,YES,YES,YES,390,9,URTI_frequency,negative,0.0582,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no product-specific testing; small sample size; single center; no blinding,Industry + independent verification,2018,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0123,ProBio+ Daily component,Pantothenic Acid,in_vitro,NO,NO,NO,0,1,URTI_frequency,negative,0.0793,NO,Tier_3_insufficient,NO,energy_metabolism,no control group; small sample size; short duration,NIH grant,2023,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0124,ProBio+ Daily component,Lactobacillus rhamnosus GG,pilot_study,NO,NO,NO,224,37,cognitive_performance,positive,0.1244,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; healthy volunteers only; single center; small sample size,Industry (manufacturer),2024,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0125,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),pilot_study,NO,NO,NO,128,20,NK_cell_activity,negative,0.1679,NO,Tier_2_pilot,NO,immune_function,short duration; high dropout rate,Industry + independent verification,2022,NEJM,Insufficient for immune_function claim under FTC standards
STU-0126,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,361,30,bioavailability,positive,0.1104,NO,Tier_2_pilot,NO,energy_metabolism,no blinding; no control group; single center,Industry (manufacturer),2024,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0127,ProBio+ Daily component,Pantothenic Acid,pilot_study,NO,NO,NO,324,48,inflammatory_markers,neutral,0.1616,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; surrogate endpoints only; single center,Academic institution,2021,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0128,ProBio+ Daily component,Lactobacillus plantarum 299v,meta_analysis,YES,NO,NO,449,47,stool_consistency,positive,0.1652,NO,Tier_1_meta_analysis,YES,digestive_health,no control group; industry funded; small sample size; no product-specific testing,Academic institution,2015,Am J Clinical Nutrition,Adequate for digestive_health claim under FTC standards
STU-0129,ProBio+ Daily component,Biotin (D-Biotin),in_vitro,NO,NO,NO,0,4,antioxidant_capacity,negative,0.0074,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only; small sample size; high dropout rate; single center,Academic institution,2021,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0130,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,86,37,gut_microbiome_diversity,neutral,0.2762,NO,Tier_2_pilot,NO,digestive_health,no control group,Industry + independent verification,2025,JAMA,Insufficient for digestive_health claim under FTC standards
STU-0131,ProBio+ Daily component,Folate (L-Methylfolate),meta_analysis,YES,NO,NO,358,33,inflammatory_markers,positive,0.2178,NO,Tier_1_meta_analysis,YES,energy_metabolism,short duration,Industry + independent verification,2019,Probiotics & Antimicrobials,Adequate for energy_metabolism claim under FTC standards
STU-0132,ProBio+ Daily component,Lactobacillus rhamnosus GG,open_label_trial,NO,NO,NO,330,23,stool_consistency,positive,0.0963,NO,Tier_2_pilot,NO,digestive_health,small sample size; no control group,NIH grant,2021,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0133,ProBio+ Daily component,Bifidobacterium lactis Bi-07,animal_model,NO,NO,NO,177,5,stool_consistency,neutral,0.2481,NO,Tier_3_insufficient,NO,digestive_health,short duration; small sample size; high dropout rate; no product-specific testing,EU research fund,2024,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0134,ProBio+ Daily component,Folate (L-Methylfolate),animal_model,NO,NO,NO,447,5,antioxidant_capacity,negative,0.2417,NO,Tier_3_insufficient,NO,energy_metabolism,industry funded; small sample size; no product-specific testing; high dropout rate,Industry + independent verification,2025,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0135,ProBio+ Daily component,Lactobacillus acidophilus NCFM,RCT,YES,YES,YES,239,7,immune_markers_IgA,positive,0.214,NO,Tier_2_observational,CONDITIONAL,immune_function,short duration; no product-specific testing; small sample size; industry funded,Academic institution,2018,Am J Clinical Nutrition,Insufficient for immune_function claim under FTC standards
STU-0136,ProBio+ Daily component,Riboflavin,in_vitro,NO,NO,NO,0,5,energy_levels_self_report,positive,0.1522,NO,Tier_3_insufficient,NO,energy_metabolism,industry funded; single center; no control group,NIH grant,2018,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0137,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,117,41,bloating_score,positive,0.1933,NO,Tier_2_pilot,NO,digestive_health,surrogate endpoints only; small sample size; no control group; industry funded,NIH grant,2021,Nutrients,Insufficient for digestive_health claim under FTC standards
STU-0138,ProBio+ Daily component,Pantothenic Acid,pilot_study,NO,NO,NO,325,46,NK_cell_activity,neutral,0.4692,NO,Tier_2_pilot,NO,immune_function,surrogate endpoints only; no blinding; healthy volunteers only,Industry (manufacturer),2024,BMJ Open,Insufficient for immune_function claim under FTC standards
STU-0139,ProBio+ Daily component,Lactobacillus acidophilus NCFM,in_vitro,NO,NO,NO,0,3,NK_cell_activity,negative,0.1717,NO,Tier_3_insufficient,NO,immune_function,small sample size; surrogate endpoints only; short duration,Academic institution,2021,Am J Clinical Nutrition,Insufficient for immune_function claim under FTC standards
STU-0140,ProBio+ Daily component,Biotin (D-Biotin),animal_model,NO,NO,NO,97,5,bloating_score,negative,0.1051,NO,Tier_3_insufficient,NO,digestive_health,high dropout rate; no product-specific testing; single center,Industry + independent verification,2018,Am J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0141,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),meta_analysis,YES,NO,NO,227,51,NK_cell_activity,positive,0.1122,NO,Tier_1_meta_analysis,YES,immune_function,no blinding; no product-specific testing; healthy volunteers only; no control group,EU research fund,2015,J Functional Foods,Adequate for immune_function claim under FTC standards
STU-0142,ProBio+ Daily component,Lactobacillus rhamnosus GG,in_vitro,NO,NO,NO,0,3,inflammatory_markers,neutral,0.684,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; high dropout rate,Industry + independent verification,2022,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0143,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,35,20,NK_cell_activity,positive,0.051,NO,Tier_2_pilot,NO,immune_function,single center; high dropout rate; short duration,Industry (manufacturer),2022,Probiotics & Antimicrobials,Insufficient for immune_function claim under FTC standards
STU-0144,ProBio+ Daily component,Riboflavin,open_label_trial,NO,NO,NO,173,29,NK_cell_activity,positive,0.2407,NO,Tier_2_pilot,NO,immune_function,surrogate endpoints only; no blinding; short duration; no product-specific testing,EU research fund,2020,Nutrients,Insufficient for immune_function claim under FTC standards
STU-0145,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),meta_analysis,YES,NO,NO,287,44,immune_markers_IgA,neutral,0.241,NO,Tier_1_meta_analysis,YES,immune_function,surrogate endpoints only; healthy volunteers only; no product-specific testing,NIH grant,2015,Food Research International,Adequate for immune_function claim under FTC standards
STU-0146,ProBio+ Daily component,Lactobacillus rhamnosus GG,consumer_survey,NO,NO,NO,308,34,antioxidant_capacity,neutral,0.3833,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate,Industry + independent verification,2017,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0147,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),open_label_trial,NO,NO,NO,57,41,skin_hydration,positive,0.1484,NO,Tier_2_pilot,NO,energy_metabolism,healthy volunteers only; short duration,NIH grant,2015,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0148,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),animal_model,NO,NO,NO,280,5,antioxidant_capacity,positive,0.0018,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; industry funded; no product-specific testing,Industry + independent verification,2020,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0149,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,350,42,bloating_score,positive,0.1599,NO,Tier_2_pilot,NO,digestive_health,no control group; surrogate endpoints only; small sample size,Academic institution,2024,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0150,ProBio+ Daily component,Niacin (Niacinamide),cohort_study,NO,NO,NO,69,41,energy_levels_self_report,positive,0.1866,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no control group; industry funded,Academic institution,2016,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0151,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),pilot_study,NO,NO,NO,287,19,NK_cell_activity,positive,0.0666,NO,Tier_2_pilot,NO,immune_function,industry funded; no blinding; healthy volunteers only; high dropout rate,Academic institution,2018,BMJ Open,Insufficient for immune_function claim under FTC standards
STU-0152,ProBio+ Daily component,Niacin (Niacinamide),cohort_study,NO,NO,NO,325,48,gut_microbiome_diversity,positive,0.0519,NO,Tier_2_observational,CONDITIONAL,digestive_health,single center; no control group,Academic institution,2017,JAMA,Insufficient for digestive_health claim under FTC standards
STU-0153,ProBio+ Daily component,Lactobacillus acidophilus NCFM,RCT,YES,YES,YES,330,28,energy_levels_self_report,neutral,0.7462,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,surrogate endpoints only; short duration; no control group; no blinding,Industry + independent verification,2019,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0154,ProBio+ Daily component,Lactobacillus rhamnosus GG,meta_analysis,YES,NO,NO,448,30,NK_cell_activity,positive,0.0899,NO,Tier_1_meta_analysis,YES,immune_function,no product-specific testing; high dropout rate,Industry + independent verification,2016,Nutrients,Adequate for immune_function claim under FTC standards
STU-0155,ProBio+ Daily component,Biotin (D-Biotin),in_vitro,NO,NO,NO,0,3,cognitive_performance,positive,0.1765,NO,Tier_3_insufficient,NO,energy_metabolism,no product-specific testing; no control group; short duration; healthy volunteers only,Academic institution,2024,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0156,ProBio+ Daily component,Bifidobacterium lactis Bi-07,open_label_trial,NO,NO,NO,207,39,energy_levels_self_report,neutral,0.3268,NO,Tier_2_pilot,NO,energy_metabolism,small sample size,Industry + independent verification,2018,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0157,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,44,19,cognitive_performance,neutral,0.3077,NO,Tier_2_pilot,NO,energy_metabolism,no control group; single center; small sample size,EU research fund,2016,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0158,ProBio+ Daily component,Pantothenic Acid,in_vitro,NO,NO,NO,0,5,bloating_score,negative,0.1544,NO,Tier_3_insufficient,NO,digestive_health,no product-specific testing; short duration; no blinding,NIH grant,2024,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0159,ProBio+ Daily component,Riboflavin,in_vitro,NO,NO,NO,0,6,skin_hydration,negative,0.0938,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; surrogate endpoints only,Industry + independent verification,2025,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0160,ProBio+ Daily component,Lactobacillus acidophilus NCFM,open_label_trial,NO,NO,NO,206,32,gut_microbiome_diversity,positive,0.1485,NO,Tier_2_pilot,NO,digestive_health,high dropout rate,NIH grant,2020,J Functional Foods,Insufficient for digestive_health claim under FTC standards
STU-0161,ProBio+ Daily component,Thiamine HCl,open_label_trial,NO,NO,NO,312,23,cognitive_performance,positive,0.0597,NO,Tier_2_pilot,NO,energy_metabolism,no control group,EU research fund,2020,BMJ Open,Insufficient for energy_metabolism claim under FTC standards
STU-0162,ProBio+ Daily component,Folate (L-Methylfolate),cohort_study,NO,NO,NO,324,9,bioavailability,positive,0.1605,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,healthy volunteers only,NIH grant,2018,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0163,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,197,5,NK_cell_activity,neutral,0.6504,NO,Tier_2_pilot,NO,immune_function,short duration; single center,NIH grant,2018,Food Research International,Insufficient for immune_function claim under FTC standards
STU-0164,ProBio+ Daily component,Niacin (Niacinamide),in_vitro,NO,NO,NO,0,1,gut_microbiome_diversity,negative,0.193,NO,Tier_3_insufficient,NO,digestive_health,single center; high dropout rate,Industry + independent verification,2022,JAMA,Insufficient for digestive_health claim under FTC standards
STU-0165,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),consumer_survey,NO,NO,NO,325,41,antioxidant_capacity,negative,0.1039,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only,Industry + independent verification,2019,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0166,ProBio+ Daily component,Biotin (D-Biotin),RCT,YES,YES,YES,208,21,bloating_score,positive,0.2411,NO,Tier_2_observational,CONDITIONAL,digestive_health,industry funded,Industry (manufacturer),2023,NEJM,Insufficient for digestive_health claim under FTC standards
STU-0167,ProBio+ Daily component,Lactobacillus acidophilus NCFM,RCT,YES,YES,YES,274,30,URTI_frequency,negative,0.0827,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,high dropout rate; healthy volunteers only; short duration; surrogate endpoints only,NIH grant,2025,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0168,ProBio+ Daily component,Riboflavin,in_vitro,NO,NO,NO,0,2,energy_levels_self_report,neutral,0.3558,NO,Tier_3_insufficient,NO,energy_metabolism,single center; no blinding,NIH grant,2022,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0169,ProBio+ Daily component,Niacin (Niacinamide),RCT,YES,YES,YES,355,43,NK_cell_activity,negative,0.2238,NO,Tier_2_observational,CONDITIONAL,immune_function,small sample size; no control group,Academic institution,2019,Probiotics & Antimicrobials,Insufficient for immune_function claim under FTC standards
STU-0170,ProBio+ Daily component,Bifidobacterium lactis Bi-07,open_label_trial,NO,NO,NO,73,25,bloating_score,neutral,0.2618,NO,Tier_2_pilot,NO,digestive_health,healthy volunteers only,Industry (manufacturer),2024,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0171,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),cohort_study,NO,NO,NO,417,37,antioxidant_capacity,neutral,0.6019,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no product-specific testing,EU research fund,2019,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0172,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),RCT,YES,YES,YES,177,52,stool_consistency,negative,0.0145,YES,Tier_1_RCT,YES,digestive_health,no product-specific testing,Academic institution,2017,Nutrients,Adequate for digestive_health claim under FTC standards
STU-0173,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,250,35,NK_cell_activity,positive,0.2231,NO,Tier_2_pilot,NO,immune_function,short duration; high dropout rate; no blinding; surrogate endpoints only,Industry (manufacturer),2017,NEJM,Insufficient for immune_function claim under FTC standards
STU-0174,ProBio+ Daily component,Niacin (Niacinamide),RCT,YES,YES,YES,252,4,bioavailability,positive,0.018,YES,Tier_1_RCT,YES,energy_metabolism,high dropout rate,Industry (manufacturer),2016,Food Research International,Adequate for energy_metabolism claim under FTC standards
STU-0175,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),animal_model,NO,NO,NO,385,5,bioavailability,positive,0.1634,NO,Tier_3_insufficient,NO,energy_metabolism,surrogate endpoints only; healthy volunteers only,Industry (manufacturer),2023,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0176,ProBio+ Daily component,Lactobacillus acidophilus NCFM,open_label_trial,NO,NO,NO,257,43,stool_consistency,negative,0.231,NO,Tier_2_pilot,NO,digestive_health,small sample size; no control group,EU research fund,2020,Probiotics & Antimicrobials,Insufficient for digestive_health claim under FTC standards
STU-0177,ProBio+ Daily component,Lactobacillus rhamnosus GG,animal_model,NO,NO,NO,92,2,gut_microbiome_diversity,positive,0.1837,NO,Tier_3_insufficient,NO,digestive_health,no product-specific testing; surrogate endpoints only; single center; short duration,Industry + independent verification,2024,Am J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0178,ProBio+ Daily component,Folate (L-Methylfolate),RCT,YES,YES,NO,45,37,bloating_score,neutral,0.6533,NO,Tier_2_observational,CONDITIONAL,digestive_health,short duration; surrogate endpoints only; no control group,Industry (manufacturer),2021,J Functional Foods,Insufficient for digestive_health claim under FTC standards
STU-0179,ProBio+ Daily component,Pantothenic Acid,RCT,YES,YES,YES,216,26,NK_cell_activity,positive,0.0338,NO,Tier_1_RCT,YES,immune_function,short duration; high dropout rate; small sample size; healthy volunteers only,Academic institution,2015,J Functional Foods,Adequate for immune_function claim under FTC standards
STU-0180,ProBio+ Daily component,Thiamine HCl,in_vitro,NO,NO,NO,0,4,stool_consistency,neutral,0.5468,NO,Tier_3_insufficient,NO,digestive_health,high dropout rate,Academic institution,2020,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0181,ProBio+ Daily component,Lactobacillus rhamnosus GG,in_vitro,NO,NO,NO,0,6,immune_markers_IgA,negative,0.1026,NO,Tier_3_insufficient,NO,immune_function,healthy volunteers only; short duration,Academic institution,2017,J Clinical Nutrition,Insufficient for immune_function claim under FTC standards
STU-0182,ProBio+ Daily component,Lactobacillus plantarum 299v,animal_model,NO,NO,NO,395,2,gut_microbiome_diversity,neutral,0.536,NO,Tier_3_insufficient,NO,digestive_health,single center; no blinding,Industry + independent verification,2025,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0183,ProBio+ Daily component,Biotin (D-Biotin),animal_model,NO,NO,NO,105,5,URTI_frequency,positive,0.0911,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; industry funded; single center; no blinding,EU research fund,2017,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0184,ProBio+ Daily component,Pantothenic Acid,meta_analysis,YES,NO,NO,264,17,stool_consistency,positive,0.0259,NO,Tier_1_meta_analysis,YES,digestive_health,no blinding,Industry (manufacturer),2017,Nutrients,Adequate for digestive_health claim under FTC standards
STU-0185,ProBio+ Daily component,Niacin (Niacinamide),in_vitro,NO,NO,NO,0,7,bloating_score,negative,0.1084,NO,Tier_3_insufficient,NO,digestive_health,no product-specific testing; healthy volunteers only; no control group,Academic institution,2022,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0186,ProBio+ Daily component,Bifidobacterium lactis Bi-07,consumer_survey,NO,NO,NO,25,46,stool_consistency,positive,0.0573,NO,Tier_3_insufficient,NO,digestive_health,no blinding; surrogate endpoints only; healthy volunteers only,Academic institution,2015,NEJM,Insufficient for digestive_health claim under FTC standards
STU-0187,ProBio+ Daily component,Niacin (Niacinamide),RCT,YES,YES,YES,125,41,antioxidant_capacity,positive,0.0028,YES,Tier_1_RCT,YES,energy_metabolism,healthy volunteers only,Industry + independent verification,2015,JAMA,Adequate for energy_metabolism claim under FTC standards
