issue_id,category,description,regulation,ftc_citation,severity,status,date_identified,date_due,assignee,penalty_exposure_usd,resolution_action,resolution_date,notes
COMP-131,Consumer Review,"General compliance monitoring item 131",16 CFR §465.3,16 CFR §465.3,MEDIUM,OPEN,2026-01-14,2026-03-23,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-132,Health Claim,"General compliance monitoring item 132",16 CFR §260.8,16 CFR §260.8,LOW,RESOLVED,2026-01-08,2026-03-16,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-133,Consumer Review,"General compliance monitoring item 133",16 CFR §465.2,16 CFR §465.2,HIGH,OPEN,2026-01-22,2026-03-19,Casey Park,51744,"Under review",N/A,"Monitoring"
COMP-134,Consumer Review,"General compliance monitoring item 134",16 CFR Part 323,16 CFR Part 323,MEDIUM,RESOLVED,2026-01-14,2026-03-21,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-135,Consumer Review,"General compliance monitoring item 135",16 CFR §465.7,16 CFR §465.7,HIGH,RESOLVED,2026-01-09,2026-03-10,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-136,Consumer Review,"General compliance monitoring item 136",16 CFR §255.2,16 CFR §255.2,MEDIUM,ESCALATED,2026-01-19,2026-03-17,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-137,Endorsement Disclosure,"General compliance monitoring item 137",16 CFR §260.12,16 CFR §260.12,MEDIUM,IN PROGRESS,2026-01-21,2026-03-14,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-138,Health Claim,"General compliance monitoring item 138",16 CFR §465.7,16 CFR §465.7,MEDIUM,ESCALATED,2026-01-21,2026-03-17,Jordan Ellis,517440,"Under review",N/A,"Monitoring"
COMP-139,Health Claim,"General compliance monitoring item 139",16 CFR §465.3,16 CFR §465.3,LOW,IN PROGRESS,2026-01-17,2026-03-01,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-140,Consumer Review,"General compliance monitoring item 140",16 CFR §255.5,16 CFR §255.5,LOW,ESCALATED,2026-01-01,2026-03-15,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-141,Consumer Review,"General compliance monitoring item 141",16 CFR §255.3,16 CFR §255.3,MEDIUM,IN PROGRESS,2026-01-02,2026-03-24,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-142,Endorsement Disclosure,"General compliance monitoring item 142",16 CFR §255.5,16 CFR §255.5,MEDIUM,IN PROGRESS,2026-01-23,2026-03-10,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-143,Consumer Review,"General compliance monitoring item 143",16 CFR §260.8,16 CFR §260.8,HIGH,MONITORING,2026-01-15,2026-03-05,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-144,Endorsement Disclosure,"General compliance monitoring item 144",16 CFR §260.8,16 CFR §260.8,HIGH,OPEN,2026-01-13,2026-03-04,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-145,Endorsement Disclosure,"General compliance monitoring item 145",16 CFR §465.7,16 CFR §465.7,LOW,MONITORING,2026-01-12,2026-03-09,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-146,Endorsement Disclosure,"General compliance monitoring item 146",16 CFR §255.5,16 CFR §255.5,LOW,MONITORING,2026-01-07,2026-03-22,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-147,Consumer Review,"General compliance monitoring item 147",16 CFR §260.12,16 CFR §260.12,MEDIUM,IN PROGRESS,2026-01-18,2026-03-26,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-148,Health Claim,"General compliance monitoring item 148",16 CFR §255.2,16 CFR §255.2,MEDIUM,IN PROGRESS,2026-01-23,2026-03-01,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-149,Health Claim,"General compliance monitoring item 149",16 CFR §255.3,16 CFR §255.3,MEDIUM,MONITORING,2026-01-22,2026-03-28,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-150,Consumer Review,"General compliance monitoring item 150",16 CFR §260.12,16 CFR §260.12,MEDIUM,IN PROGRESS,2026-01-22,2026-03-01,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-151,Endorsement Disclosure,"General compliance monitoring item 151",16 CFR §465.2,16 CFR §465.2,HIGH,OPEN,2026-01-04,2026-03-24,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-152,Consumer Review,"General compliance monitoring item 152",16 CFR §465.3,16 CFR §465.3,MEDIUM,RESOLVED,2026-01-16,2026-03-09,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-153,Health Claim,"General compliance monitoring item 153",16 CFR §465.3,16 CFR §465.3,MEDIUM,OPEN,2026-01-20,2026-03-12,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-154,Consumer Review,"General compliance monitoring item 154",16 CFR §255.5,16 CFR §255.5,HIGH,OPEN,2026-01-09,2026-03-06,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-155,Endorsement Disclosure,"General compliance monitoring item 155",16 CFR §255.3,16 CFR §255.3,MEDIUM,OPEN,2026-01-27,2026-03-05,Casey Park,51744,"Under review",N/A,"Monitoring"
COMP-156,Health Claim,"General compliance monitoring item 156",16 CFR §465.3,16 CFR §465.3,MEDIUM,ESCALATED,2026-01-22,2026-03-01,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-157,Health Claim,"General compliance monitoring item 157",16 CFR §260.8,16 CFR §260.8,LOW,MONITORING,2026-01-12,2026-03-01,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-158,Health Claim,"General compliance monitoring item 158",16 CFR §260.8,16 CFR §260.8,HIGH,MONITORING,2026-01-20,2026-03-11,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-159,Endorsement Disclosure,"General compliance monitoring item 159",16 CFR §260.12,16 CFR §260.12,HIGH,OPEN,2026-01-06,2026-03-20,Mike Torres,0,"Under review",N/A,"Monitoring"
COMP-160,Health Claim,"General compliance monitoring item 160",16 CFR Part 323,16 CFR Part 323,LOW,MONITORING,2026-01-23,2026-03-11,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-161,Endorsement Disclosure,"General compliance monitoring item 161",16 CFR §465.3,16 CFR §465.3,LOW,IN PROGRESS,2026-01-24,2026-03-01,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-162,Consumer Review,"General compliance monitoring item 162",16 CFR §465.3,16 CFR §465.3,HIGH,ESCALATED,2026-01-12,2026-03-13,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-163,Endorsement Disclosure,"General compliance monitoring item 163",16 CFR §465.3,16 CFR §465.3,HIGH,IN PROGRESS,2026-01-07,2026-03-11,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-164,Consumer Review,"General compliance monitoring item 164",16 CFR Part 323,16 CFR Part 323,HIGH,OPEN,2026-01-21,2026-03-02,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-165,Endorsement Disclosure,"General compliance monitoring item 165",16 CFR §255.3,16 CFR §255.3,MEDIUM,IN PROGRESS,2026-01-08,2026-03-08,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-166,Endorsement Disclosure,"General compliance monitoring item 166",FTC Health Products Guidance,FTC Health Products Guidance,LOW,MONITORING,2026-01-16,2026-03-23,Casey Park,103488,"Under review",N/A,"Monitoring"
COMP-167,Endorsement Disclosure,"General compliance monitoring item 167",16 CFR §465.3,16 CFR §465.3,MEDIUM,OPEN,2026-01-09,2026-03-19,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-168,Endorsement Disclosure,"General compliance monitoring item 168",16 CFR §255.2,16 CFR §255.2,MEDIUM,OPEN,2026-01-09,2026-03-19,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-169,Endorsement Disclosure,"General compliance monitoring item 169",16 CFR §255.2,16 CFR §255.2,MEDIUM,IN PROGRESS,2026-01-13,2026-03-23,Casey Park,103488,"Under review",N/A,"Monitoring"
COMP-170,Endorsement Disclosure,"General compliance monitoring item 170",16 CFR §465.3,16 CFR §465.3,HIGH,IN PROGRESS,2026-01-25,2026-03-25,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-171,Endorsement Disclosure,"General compliance monitoring item 171",16 CFR §465.3,16 CFR §465.3,HIGH,OPEN,2026-01-06,2026-03-09,Casey Park,103488,"Under review",N/A,"Monitoring"
COMP-172,Health Claim,"General compliance monitoring item 172",16 CFR §260.12,16 CFR §260.12,MEDIUM,RESOLVED,2026-01-08,2026-03-25,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-173,Consumer Review,"General compliance monitoring item 173",16 CFR §260.8,16 CFR §260.8,MEDIUM,MONITORING,2026-01-28,2026-03-10,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-174,Consumer Review,"General compliance monitoring item 174",16 CFR §465.2,16 CFR §465.2,MEDIUM,RESOLVED,2026-01-22,2026-03-01,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-175,Health Claim,"General compliance monitoring item 175",16 CFR §255.3,16 CFR §255.3,MEDIUM,RESOLVED,2026-01-21,2026-03-09,Sarah Chen,517440,"Under review",N/A,"Monitoring"
COMP-176,Health Claim,"General compliance monitoring item 176",16 CFR §260.8,16 CFR §260.8,MEDIUM,IN PROGRESS,2026-01-08,2026-03-17,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-177,Health Claim,"General compliance monitoring item 177",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,MONITORING,2026-01-26,2026-03-22,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-178,Health Claim,"General compliance monitoring item 178",16 CFR §260.12,16 CFR §260.12,MEDIUM,OPEN,2026-01-05,2026-03-01,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-179,Endorsement Disclosure,"General compliance monitoring item 179",16 CFR §255.5,16 CFR §255.5,MEDIUM,RESOLVED,2026-01-21,2026-03-05,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-180,Endorsement Disclosure,"General compliance monitoring item 180",FTC Health Products Guidance,FTC Health Products Guidance,LOW,IN PROGRESS,2026-01-03,2026-03-11,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-181,Consumer Review,"General compliance monitoring item 181",16 CFR §255.2,16 CFR §255.2,MEDIUM,OPEN,2026-01-27,2026-03-20,Sarah Chen,517440,"Under review",N/A,"Monitoring"
COMP-182,Health Claim,"General compliance monitoring item 182",16 CFR Part 323,16 CFR Part 323,MEDIUM,RESOLVED,2026-01-12,2026-03-19,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-183,Consumer Review,"General compliance monitoring item 183",16 CFR §260.8,16 CFR §260.8,LOW,ESCALATED,2026-01-25,2026-03-01,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-184,Health Claim,"General compliance monitoring item 184",16 CFR §465.3,16 CFR §465.3,LOW,ESCALATED,2026-01-14,2026-03-18,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-185,Health Claim,"General compliance monitoring item 185",16 CFR §255.3,16 CFR §255.3,LOW,IN PROGRESS,2026-01-19,2026-03-16,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-186,Consumer Review,"General compliance monitoring item 186",16 CFR §260.8,16 CFR §260.8,HIGH,RESOLVED,2026-01-06,2026-03-05,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-187,Endorsement Disclosure,"General compliance monitoring item 187",16 CFR §260.8,16 CFR §260.8,MEDIUM,OPEN,2026-01-16,2026-03-11,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-188,Consumer Review,"General compliance monitoring item 188",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,MONITORING,2026-01-09,2026-03-13,Alex Rivera (Ext.),0,"Under review",N/A,"Monitoring"
COMP-189,Endorsement Disclosure,"General compliance monitoring item 189",16 CFR §255.2,16 CFR §255.2,HIGH,IN PROGRESS,2026-01-02,2026-03-14,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-190,Health Claim,"General compliance monitoring item 190",16 CFR §260.12,16 CFR §260.12,MEDIUM,IN PROGRESS,2026-01-04,2026-03-28,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-191,Health Claim,"General compliance monitoring item 191",16 CFR §465.3,16 CFR §465.3,LOW,MONITORING,2026-01-09,2026-03-06,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-192,Health Claim,"General compliance monitoring item 192",16 CFR §255.5,16 CFR §255.5,MEDIUM,IN PROGRESS,2026-01-20,2026-03-01,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-193,Health Claim,"General compliance monitoring item 193",16 CFR §260.8,16 CFR §260.8,HIGH,OPEN,2026-01-22,2026-03-24,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-194,Consumer Review,"General compliance monitoring item 194",16 CFR §255.5,16 CFR §255.5,MEDIUM,ESCALATED,2026-01-11,2026-03-23,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-195,Endorsement Disclosure,"General compliance monitoring item 195",16 CFR §465.7,16 CFR §465.7,LOW,ESCALATED,2026-01-01,2026-03-23,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-196,Health Claim,"General compliance monitoring item 196",FTC Health Products Guidance,FTC Health Products Guidance,LOW,ESCALATED,2026-01-14,2026-03-07,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-197,Health Claim,"General compliance monitoring item 197",16 CFR §255.2,16 CFR §255.2,LOW,RESOLVED,2026-01-08,2026-03-15,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-198,Consumer Review,"General compliance monitoring item 198",16 CFR §255.3,16 CFR §255.3,HIGH,RESOLVED,2026-01-16,2026-03-18,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-199,Endorsement Disclosure,"General compliance monitoring item 199",16 CFR §255.5,16 CFR §255.5,MEDIUM,MONITORING,2026-01-13,2026-03-20,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-200,Health Claim,"General compliance monitoring item 200",16 CFR §260.12,16 CFR §260.12,MEDIUM,RESOLVED,2026-01-09,2026-03-23,Sarah Chen,517440,"Under review",N/A,"Monitoring"
