post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,disclosure_pattern,compliance_status,health_claim_detected,health_claim_compliant,penalty_exposure_usd,review_date,reviewer,action_required,notes
POST-0254,@immunity_insider,Reels,2026-02-11,13:00:00,16606,3626,5.16,"#sponsored in middle",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-16,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0255,@digestive_digest,Reels,2026-02-15,15:30:00,62710,24378,2.33,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-20,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0256,@immunity_insider,Reels,2026-01-19,16:30:00,73179,16588,5.61,"Disclosure in bio only",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-24,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0257,@guthealth_guru,Reels,2026-01-07,21:15:00,61436,23449,4.28,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-12,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0258,@immunity_insider,Instagram,2026-01-17,11:30:00,31939,5209,5.04,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-22,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0259,@immunity_insider,Reels,2026-01-19,20:00:00,14153,4111,3.14,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-24,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0260,@cleanwellness,TikTok,2026-02-19,14:00:00,61575,21115,4.65,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-24,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0261,@digestive_digest,Reels,2026-01-08,17:15:00,23525,9029,5.82,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-02-13,Casey Park,NONE,Verbal reminder sent to influencer
POST-0262,@microbiome_maven,TikTok,2026-02-18,13:30:00,31144,7840,5.79,"#ad first hashtag",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-23,Casey Park,NONE,Verbal reminder sent to influencer
POST-0263,@guthealth_guru,Reels,2026-03-06,11:45:00,43962,7995,2.11,"#sponsored in middle",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-11,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0264,@guthealth_guru,Reels,2026-03-04,17:15:00,13715,6115,2.21,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-09,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0265,@vitalitycoach,TikTok,2026-03-02,09:45:00,80229,33296,2.95,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-07,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0266,@supplementspro,YouTube,2026-02-03,13:30:00,52867,9607,5.74,"#ad first hashtag",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-08,Sarah Chen,NONE,Formal notice issued
POST-0267,@guthealth_guru,YouTube,2026-03-17,11:30:00,90797,30575,1.66,"Platform Paid Partnership only",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-22,Casey Park,NONE,Formal notice issued
POST-0268,@vitamindiary,YouTube,2026-01-15,14:15:00,91562,31316,3.06,"#ad at post beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-20,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0269,@probiotic_life,TikTok,2026-01-02,20:45:00,13397,5870,5.42,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-07,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0270,@guthealth_guru,Reels,2026-01-05,12:15:00,73471,27980,1.15,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-10,Casey Park,NONE,Corrected in subsequent post
POST-0271,@microbiome_maven,YouTube,2026-02-18,14:45:00,50489,10885,1.93,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-23,Jordan Ellis,NONE,Follow up required before next post
POST-0272,@probiotic_life,Instagram,2026-02-16,21:30:00,37379,8214,4.97,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-21,Sarah Chen,NONE,Influencer agreement updated
POST-0273,@vitalitycoach,YouTube,2026-01-24,19:45:00,33248,5495,5.3,"Platform Paid Partnership only",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-02-28,Casey Park,NONE,Verbal reminder sent to influencer
POST-0274,@probiotic_life,Instagram,2026-02-16,09:15:00,45692,11904,4.4,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-21,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0275,@microbiome_maven,Reels,2026-03-06,20:00:00,90400,21986,4.04,"Platform Paid Partnership only",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-03-11,Jordan Ellis,NONE,Influencer agreement updated
POST-0276,@microbiome_maven,Instagram Stories,2026-03-08,10:30:00,79725,20334,5.59,"Disclosure in bio only",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-13,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0277,@immunity_insider,TikTok,2026-02-21,09:30:00,52929,20028,3.22,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-26,Jordan Ellis,NONE,Influencer agreement updated
POST-0278,@holistic_health_hub,Instagram,2026-02-26,13:00:00,70080,13095,0.87,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0279,@guthealth_guru,Reels,2026-03-23,13:45:00,68224,23153,5.88,"Verbal only (video)",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-28,Jordan Ellis,NONE,Follow up required before next post
POST-0280,@nourishednaturally,YouTube,2026-03-26,21:45:00,58679,17519,1.7,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-28,Sarah Chen,NONE,Compliant - no action needed
POST-0281,@immunity_insider,YouTube,2026-03-25,09:15:00,16888,6512,4.32,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0282,@immunity_insider,Instagram Stories,2026-02-05,22:00:00,20362,6132,5.18,"Verbal only (video)",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-10,Jordan Ellis,NONE,Follow up required before next post
POST-0283,@wellnesswithjenna,Reels,2026-01-18,11:15:00,36228,15240,1.62,"Disclosure in bio only",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-23,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0284,@fitandfueled,Reels,2026-02-26,14:00:00,23113,9274,4.01,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-28,Casey Park,NONE,Compliant - no action needed
POST-0285,@nutriscience,TikTok,2026-02-28,10:45:00,86934,20240,4.21,"Ad: at beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0286,@nutriscience,Instagram,2026-01-28,16:15:00,34907,5639,5.36,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-28,Jordan Ellis,NONE,Formal notice issued
POST-0287,@vitamindiary,Instagram Stories,2026-02-09,08:45:00,42993,7557,4.26,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-14,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0288,@immunity_insider,Reels,2026-03-23,22:30:00,48356,18115,5.05,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0289,@immunity_insider,Reels,2026-03-21,09:45:00,23309,3599,2.69,"Verbal only (video)",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-26,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0290,@guthealth_guru,TikTok,2026-03-28,20:30:00,42648,10330,5.02,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0291,@immunity_insider,TikTok,2026-02-12,21:45:00,40598,11081,1.86,"#ad first hashtag",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-17,Jordan Ellis,NONE,Compliant - no action needed
POST-0292,@nutriscience,YouTube,2026-02-02,20:15:00,32019,6555,0.99,"#ad at post beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-07,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0293,@cleanwellness,Instagram,2026-03-18,13:00:00,83621,37133,5.32,"Ad: at beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-23,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0294,@probiotic_life,Instagram,2026-02-21,16:00:00,74789,22852,3.15,"#sponsored in middle",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0295,@digestive_digest,YouTube,2026-02-26,21:15:00,30495,13603,2.69,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-28,Casey Park,NONE,Follow up required before next post
POST-0296,@nourishednaturally,YouTube,2026-02-24,09:45:00,88029,13285,4.39,"Disclosure in bio only",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0297,@guthealth_guru,Instagram,2026-03-14,13:45:00,32307,10592,1.36,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-19,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0298,@nutriscience,Instagram,2026-01-20,19:30:00,86048,23043,5.15,"#sponsored in middle",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-25,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0299,@digestive_digest,TikTok,2026-02-26,20:15:00,48266,15730,4.15,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0300,@vitamindiary,Instagram,2026-01-09,16:45:00,32748,8784,4.12,"Verbal only (video)",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-02-14,Sarah Chen,NONE,Influencer agreement updated
POST-0301,@vitamindiary,Instagram Stories,2026-01-24,12:00:00,35647,9931,5.07,"Verbal only (video)",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-28,Jordan Ellis,NONE,Formal notice issued
POST-0302,@digestive_digest,YouTube,2026-03-10,19:30:00,35298,8899,5.9,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-15,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0303,@vitamindiary,Instagram Stories,2026-02-10,14:45:00,48735,7546,1.34,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-15,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0304,@fitandfueled,Reels,2026-03-19,21:45:00,33953,13199,3.21,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-24,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0305,@vitalitycoach,YouTube,2026-02-04,08:15:00,50848,16552,0.82,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-09,Jordan Ellis,NONE,Influencer agreement updated
POST-0306,@microbiome_maven,YouTube,2026-01-16,13:00:00,62299,18279,0.96,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-21,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0307,@supplementspro,YouTube,2026-01-10,11:00:00,90181,16770,5.89,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-15,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0308,@supplementspro,Reels,2026-03-21,16:00:00,44677,12957,6.09,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-26,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0309,@microbiome_maven,Instagram,2026-02-12,09:00:00,85733,21322,5.46,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-17,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0310,@fitandfueled,Reels,2026-01-04,18:15:00,89431,25920,3.62,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-09,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0311,@fitandfueled,Reels,2026-02-19,11:15:00,37389,9639,4.46,"Disclosure in bio only",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-24,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0312,@digestive_digest,Reels,2026-03-16,10:15:00,52847,22858,1.58,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-21,Casey Park,NONE,Follow up required before next post
POST-0313,@digestive_digest,Instagram Stories,2026-03-21,13:15:00,31539,5629,4.84,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-26,Jordan Ellis,NONE,Compliant - no action needed
POST-0314,@probiotic_life,TikTok,2026-01-02,12:00:00,42731,15396,5.97,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-07,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0315,@probiotic_life,TikTok,2026-03-18,12:30:00,34284,14578,5.84,"#ad first hashtag",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-23,Sarah Chen,NONE,Corrected in subsequent post
POST-0316,@vitalitycoach,TikTok,2026-02-13,14:00:00,49809,14744,2.5,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-18,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0317,@digestive_digest,YouTube,2026-03-28,21:30:00,12408,5054,4.96,"Verbal only (video)",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-28,Casey Park,NONE,Verbal reminder sent to influencer
POST-0318,@nutriscience,Reels,2026-03-10,20:30:00,36431,7925,5.23,"Platform Paid Partnership only",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-15,Sarah Chen,NONE,Corrected in subsequent post
POST-0319,@nourishednaturally,TikTok,2026-03-22,11:00:00,14800,2425,1.33,"Verbal only (video)",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-27,Casey Park,NONE,Formal notice issued
POST-0320,@guthealth_guru,Instagram,2026-03-26,10:30:00,86906,18660,5.46,"#ad at post beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0321,@digestive_digest,Instagram,2026-03-05,10:00:00,18576,5989,3.24,"No disclosure",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0322,@microbiome_maven,Instagram Stories,2026-03-07,17:45:00,51586,15302,2.89,"Ad: at beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-12,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0323,@supplementspro,Reels,2026-03-04,20:15:00,42869,13218,3.63,"#sponsored in middle",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-09,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0324,@nourishednaturally,TikTok,2026-03-20,14:45:00,87128,21330,4.94,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-25,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0325,@vitamindiary,YouTube,2026-01-17,15:45:00,49459,10809,4.38,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-22,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0326,@wellnesswithjenna,Instagram,2026-03-07,08:45:00,14516,4238,5.34,"Platform Paid Partnership only",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-12,Sarah Chen,NONE,Influencer agreement updated
POST-0327,@probiotic_life,YouTube,2026-03-02,17:45:00,33341,6921,2.73,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-07,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0328,@holistic_health_hub,Instagram,2026-01-04,18:15:00,26929,8331,5.6,"Platform Paid Partnership only",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-09,Casey Park,NONE,Corrected in subsequent post
POST-0329,@vitalitycoach,TikTok,2026-03-08,22:30:00,68807,11996,1.16,"#ad first hashtag",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-13,Casey Park,NONE,Verbal reminder sent to influencer
POST-0330,@wellnesswithjenna,Instagram Stories,2026-03-11,19:45:00,25116,11076,1.06,"#ad at post beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-16,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0331,@probiotic_life,Instagram,2026-03-14,18:45:00,12594,2077,5.06,"#ad first hashtag",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-19,Sarah Chen,NONE,Corrected in subsequent post
POST-0332,@supplementspro,YouTube,2026-03-18,19:30:00,70908,12763,1.41,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-23,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0333,@vitamindiary,Instagram,2026-02-25,09:15:00,57756,13631,4.58,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-28,Casey Park,NONE,Compliant - no action needed
POST-0334,@nutriscience,TikTok,2026-03-08,10:45:00,39136,17369,5.55,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-13,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0335,@fitandfueled,YouTube,2026-01-12,20:45:00,60294,11146,3.57,"#ad at post beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-17,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0336,@fitandfueled,Instagram,2026-02-12,17:30:00,73910,24231,1.87,"No disclosure",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-17,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0337,@supplementspro,TikTok,2026-02-26,21:45:00,81572,14365,2.96,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0338,@vitamindiary,Instagram,2026-01-26,18:30:00,36226,12054,2.51,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0339,@holistic_health_hub,Instagram,2026-03-12,22:45:00,71620,26698,1.51,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-17,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0340,@cleanwellness,TikTok,2026-02-21,17:00:00,46818,13233,5.44,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0341,@guthealth_guru,TikTok,2026-03-23,22:15:00,94491,38487,3.19,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0342,@nourishednaturally,Instagram,2026-01-07,13:00:00,70630,29697,4.24,"#sponsored in middle",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-12,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0343,@guthealth_guru,Reels,2026-02-22,19:15:00,31987,7478,1.19,"#ad at post beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-27,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0344,@wellnesswithjenna,Instagram Stories,2026-01-09,16:15:00,25634,4542,0.89,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-14,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0345,@holistic_health_hub,Instagram Stories,2026-02-16,22:15:00,87282,23171,1.26,"#ad first hashtag",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-21,Casey Park,NONE,Corrected in subsequent post
POST-0346,@holistic_health_hub,Reels,2026-02-28,13:30:00,72298,26725,3.92,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0347,@supplementspro,TikTok,2026-01-07,16:00:00,20149,5940,1.82,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-02-12,Jordan Ellis,NONE,Compliant - no action needed
POST-0348,@vitalitycoach,Instagram,2026-02-19,13:45:00,88129,16521,5.21,"Ad: at beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-24,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0349,@guthealth_guru,YouTube,2026-01-18,08:15:00,33100,13929,4.08,"Platform Paid Partnership only",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-02-23,Sarah Chen,NONE,Influencer agreement updated
POST-0350,@fitandfueled,Instagram Stories,2026-02-07,09:15:00,21379,9011,4.69,"Disclosure in bio only",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-12,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0351,@probiotic_life,YouTube,2026-01-04,21:45:00,47395,9690,5.48,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-09,Casey Park,NONE,Verbal reminder sent to influencer
POST-0352,@wellnesswithjenna,Reels,2026-02-15,17:30:00,56791,21335,6.04,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-20,Casey Park,NONE,Verbal reminder sent to influencer
POST-0353,@supplementspro,Instagram,2026-02-09,22:45:00,50203,14667,3.61,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0354,@probiotic_life,Instagram Stories,2026-03-01,12:30:00,23022,4581,0.88,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-06,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0355,@digestive_digest,YouTube,2026-03-21,13:00:00,51957,20008,1.82,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0356,@wellnesswithjenna,Instagram,2026-03-16,19:45:00,55438,20597,6.13,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-21,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0357,@guthealth_guru,TikTok,2026-03-02,11:45:00,16115,2429,3.72,"#ad at post beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-07,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0358,@fitandfueled,TikTok,2026-03-15,13:45:00,18859,3267,3.38,"#ad at post beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-20,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0359,@nutriscience,Instagram,2026-03-15,22:45:00,59003,12015,4.43,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-20,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0360,@vitalitycoach,Instagram,2026-03-23,18:45:00,68890,19482,6.15,"#ad first hashtag",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-28,Casey Park,NONE,Influencer agreement updated
POST-0361,@digestive_digest,Instagram,2026-01-24,15:00:00,82786,17192,3.78,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0362,@immunity_insider,TikTok,2026-02-04,21:15:00,83742,34241,1.16,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-09,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0363,@supplementspro,YouTube,2026-03-20,14:00:00,84416,25861,3.88,"Disclosure in bio only",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-25,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0364,@holistic_health_hub,Instagram Stories,2026-01-09,10:30:00,83275,29108,2.26,"Platform Paid Partnership only",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-14,Casey Park,NONE,Compliant - no action needed
POST-0365,@probiotic_life,Instagram,2026-02-12,09:00:00,57051,14164,1.31,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-17,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0366,@vitalitycoach,YouTube,2026-02-25,13:15:00,56187,15233,4.49,"Verbal only (video)",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-28,Casey Park,NONE,Follow up required before next post
POST-0367,@cleanwellness,Instagram Stories,2026-01-23,21:15:00,73717,11476,1.94,"Platform Paid Partnership only",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-28,Jordan Ellis,NONE,Verbal reminder sent to influencer
