finding_id,activity_id,article,severity,status,description
F-0113,ACT-015,Art. 5(2),LOW,OPEN,Activity 'Referral Program' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0114,ACT-015,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Referral Program' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0115,ACT-015,Art. 30(1),HIGH,OPEN,Activity 'Referral Program' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0116,ACT-015,Art. 28(3),LOW,OPEN,Activity 'Referral Program' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0117,ACT-015,Art. 32(1),MEDIUM,OPEN,Activity 'Referral Program' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0118,ACT-015,Art. 9,HIGH,OPEN,Activity 'Referral Program' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0119,ACT-015,Art. 44,LOW,OPEN,Activity 'Referral Program' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0120,ACT-015,Art. 12(3),MEDIUM,OPEN,Activity 'Referral Program' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0121,ACT-016,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Vendor and Supplier Management' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0122,ACT-016,Art. 30(1),HIGH,IN_PROGRESS,Activity 'Vendor and Supplier Management' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0123,ACT-016,Art. 28(3),LOW,REMEDIATED,Activity 'Vendor and Supplier Management' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0124,ACT-016,Art. 32(1),MEDIUM,OPEN,Activity 'Vendor and Supplier Management' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0125,ACT-016,Art. 9,HIGH,IN_PROGRESS,Activity 'Vendor and Supplier Management' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0126,ACT-016,Art. 44,LOW,REMEDIATED,Activity 'Vendor and Supplier Management' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0127,ACT-016,Art. 12(3),MEDIUM,OPEN,Activity 'Vendor and Supplier Management' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0128,ACT-016,Art. 5(2),HIGH,IN_PROGRESS,Activity 'Vendor and Supplier Management' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0129,ACT-017,Art. 30(1),HIGH,OPEN,Activity 'Webinar and Events' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0130,ACT-017,Art. 28(3),LOW,REMEDIATED,Activity 'Webinar and Events' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0131,ACT-017,Art. 32(1),MEDIUM,IN_PROGRESS,Activity 'Webinar and Events' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0132,ACT-017,Art. 9,HIGH,OPEN,Activity 'Webinar and Events' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0133,ACT-017,Art. 44,LOW,REMEDIATED,Activity 'Webinar and Events' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0134,ACT-017,Art. 12(3),MEDIUM,IN_PROGRESS,Activity 'Webinar and Events' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0135,ACT-017,Art. 5(2),HIGH,OPEN,Activity 'Webinar and Events' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0136,ACT-017,Art. 5(1)(e),LOW,REMEDIATED,Activity 'Webinar and Events' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0137,ACT-018,Art. 28(3),LOW,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0138,ACT-018,Art. 32(1),MEDIUM,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0139,ACT-018,Art. 9,HIGH,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0140,ACT-018,Art. 44,LOW,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0141,ACT-018,Art. 12(3),MEDIUM,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0142,ACT-018,Art. 5(2),HIGH,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0143,ACT-018,Art. 5(1)(e),LOW,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0144,ACT-018,Art. 30(1),MEDIUM,OPEN,Activity 'Customer Satisfaction Surveys' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0145,ACT-019,Art. 32(1),MEDIUM,OPEN,Activity 'Payment Fraud Detection' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0146,ACT-019,Art. 9,HIGH,IN_PROGRESS,Activity 'Payment Fraud Detection' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0147,ACT-019,Art. 44,LOW,REMEDIATED,Activity 'Payment Fraud Detection' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0148,ACT-019,Art. 12(3),MEDIUM,OPEN,Activity 'Payment Fraud Detection' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0149,ACT-019,Art. 5(2),HIGH,IN_PROGRESS,Activity 'Payment Fraud Detection' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0150,ACT-019,Art. 5(1)(e),LOW,REMEDIATED,Activity 'Payment Fraud Detection' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0151,ACT-019,Art. 30(1),MEDIUM,OPEN,Activity 'Payment Fraud Detection' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0152,ACT-019,Art. 28(3),HIGH,IN_PROGRESS,Activity 'Payment Fraud Detection' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0153,ACT-020,Art. 9,HIGH,OPEN,Activity 'Compliance Audit Logging' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0154,ACT-020,Art. 44,LOW,REMEDIATED,Activity 'Compliance Audit Logging' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0155,ACT-020,Art. 12(3),MEDIUM,IN_PROGRESS,Activity 'Compliance Audit Logging' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0156,ACT-020,Art. 5(2),HIGH,OPEN,Activity 'Compliance Audit Logging' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0157,ACT-020,Art. 5(1)(e),LOW,REMEDIATED,Activity 'Compliance Audit Logging' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0158,ACT-020,Art. 30(1),MEDIUM,IN_PROGRESS,Activity 'Compliance Audit Logging' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0159,ACT-020,Art. 28(3),HIGH,OPEN,Activity 'Compliance Audit Logging' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0160,ACT-020,Art. 32(1),LOW,REMEDIATED,Activity 'Compliance Audit Logging' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0161,ACT-021,Art. 44,LOW,OPEN,Activity 'Partner Portal Access' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0162,ACT-021,Art. 12(3),MEDIUM,OPEN,Activity 'Partner Portal Access' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0163,ACT-021,Art. 5(2),HIGH,OPEN,Activity 'Partner Portal Access' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0164,ACT-021,Art. 5(1)(e),LOW,OPEN,Activity 'Partner Portal Access' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0165,ACT-021,Art. 30(1),MEDIUM,OPEN,Activity 'Partner Portal Access' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0166,ACT-021,Art. 28(3),HIGH,OPEN,Activity 'Partner Portal Access' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0167,ACT-021,Art. 32(1),LOW,OPEN,Activity 'Partner Portal Access' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0168,ACT-021,Art. 9,MEDIUM,OPEN,Activity 'Partner Portal Access' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0169,ACT-022,Art. 12(3),MEDIUM,OPEN,Activity 'Employee Training Records' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0170,ACT-022,Art. 5(2),HIGH,IN_PROGRESS,Activity 'Employee Training Records' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0171,ACT-022,Art. 5(1)(e),LOW,REMEDIATED,Activity 'Employee Training Records' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0172,ACT-022,Art. 30(1),MEDIUM,OPEN,Activity 'Employee Training Records' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0173,ACT-022,Art. 28(3),HIGH,IN_PROGRESS,Activity 'Employee Training Records' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0174,ACT-022,Art. 32(1),LOW,REMEDIATED,Activity 'Employee Training Records' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0175,ACT-022,Art. 9,MEDIUM,OPEN,Activity 'Employee Training Records' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0176,ACT-022,Art. 44,HIGH,IN_PROGRESS,Activity 'Employee Training Records' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0177,ACT-023,Art. 5(2),HIGH,OPEN,Activity 'Expense and Travel Management' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0178,ACT-023,Art. 5(1)(e),LOW,REMEDIATED,Activity 'Expense and Travel Management' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0179,ACT-023,Art. 30(1),MEDIUM,IN_PROGRESS,Activity 'Expense and Travel Management' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0180,ACT-023,Art. 28(3),HIGH,OPEN,Activity 'Expense and Travel Management' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0181,ACT-023,Art. 32(1),LOW,REMEDIATED,Activity 'Expense and Travel Management' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0182,ACT-023,Art. 9,MEDIUM,IN_PROGRESS,Activity 'Expense and Travel Management' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0183,ACT-023,Art. 44,HIGH,OPEN,Activity 'Expense and Travel Management' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0184,ACT-023,Art. 12(3),LOW,REMEDIATED,Activity 'Expense and Travel Management' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0185,ACT-024,Art. 5(1)(e),LOW,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0186,ACT-024,Art. 30(1),MEDIUM,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0187,ACT-024,Art. 28(3),HIGH,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0188,ACT-024,Art. 32(1),LOW,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0189,ACT-024,Art. 9,MEDIUM,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0190,ACT-024,Art. 44,HIGH,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0191,ACT-024,Art. 12(3),LOW,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0192,ACT-024,Art. 5(2),MEDIUM,OPEN,Activity 'Data Subject Request Handling' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0193,ACT-025,Art. 30(1),MEDIUM,OPEN,Activity 'Security Incident Management' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0194,ACT-025,Art. 28(3),HIGH,IN_PROGRESS,Activity 'Security Incident Management' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0195,ACT-025,Art. 32(1),LOW,REMEDIATED,Activity 'Security Incident Management' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0196,ACT-025,Art. 9,MEDIUM,OPEN,Activity 'Security Incident Management' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0197,ACT-025,Art. 44,HIGH,IN_PROGRESS,Activity 'Security Incident Management' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0198,ACT-025,Art. 12(3),LOW,REMEDIATED,Activity 'Security Incident Management' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0199,ACT-025,Art. 5(2),MEDIUM,OPEN,Activity 'Security Incident Management' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0200,ACT-025,Art. 5(1)(e),HIGH,IN_PROGRESS,Activity 'Security Incident Management' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0201,ACT-026,Art. 28(3),HIGH,OPEN,Activity 'Office Biometric Access' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0202,ACT-026,Art. 32(1),LOW,REMEDIATED,Activity 'Office Biometric Access' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0203,ACT-026,Art. 9,MEDIUM,IN_PROGRESS,Activity 'Office Biometric Access' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0204,ACT-026,Art. 44,HIGH,OPEN,Activity 'Office Biometric Access' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0205,ACT-026,Art. 12(3),LOW,REMEDIATED,Activity 'Office Biometric Access' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0206,ACT-026,Art. 5(2),MEDIUM,IN_PROGRESS,Activity 'Office Biometric Access' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0207,ACT-026,Art. 5(1)(e),HIGH,OPEN,Activity 'Office Biometric Access' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0208,ACT-026,Art. 30(1),LOW,REMEDIATED,Activity 'Office Biometric Access' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0209,ACT-027,Art. 32(1),LOW,OPEN,Activity 'International Payroll Transfers' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0210,ACT-027,Art. 9,MEDIUM,OPEN,Activity 'International Payroll Transfers' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0211,ACT-027,Art. 44,HIGH,OPEN,Activity 'International Payroll Transfers' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0212,ACT-027,Art. 12(3),LOW,OPEN,Activity 'International Payroll Transfers' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0213,ACT-027,Art. 5(2),MEDIUM,OPEN,Activity 'International Payroll Transfers' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0214,ACT-027,Art. 5(1)(e),HIGH,OPEN,Activity 'International Payroll Transfers' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0215,ACT-027,Art. 30(1),LOW,OPEN,Activity 'International Payroll Transfers' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0216,ACT-027,Art. 28(3),MEDIUM,OPEN,Activity 'International Payroll Transfers' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0217,ACT-028,Art. 9,MEDIUM,OPEN,Activity 'A/B Testing Platform' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0218,ACT-028,Art. 44,HIGH,IN_PROGRESS,Activity 'A/B Testing Platform' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0219,ACT-028,Art. 12(3),LOW,REMEDIATED,Activity 'A/B Testing Platform' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0220,ACT-028,Art. 5(2),MEDIUM,OPEN,Activity 'A/B Testing Platform' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0221,ACT-028,Art. 5(1)(e),HIGH,IN_PROGRESS,Activity 'A/B Testing Platform' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0222,ACT-028,Art. 30(1),LOW,REMEDIATED,Activity 'A/B Testing Platform' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0223,ACT-028,Art. 28(3),MEDIUM,OPEN,Activity 'A/B Testing Platform' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0224,ACT-028,Art. 32(1),HIGH,IN_PROGRESS,Activity 'A/B Testing Platform' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0225,ACT-029,Art. 44,HIGH,OPEN,Activity 'Enterprise SSO Integration' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
