company_id,company_name,industry_segment,notice_received_date,notice_type,violations_alleged,penalty_per_violation_usd,total_penalty_usd,resolution_type,resolution_date,consent_order_provisions,advertising_claims_flagged,evidence_standard_failed,disclosure_issues,status
CO-0147,Supplement Co. 147,probiotic_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-10-06,None,scientifically proven without evidence; may help support (prohibited qualifier); biodegradable false claim; fake reviews; clinically demonstrated without RCT; insider reviews undisclosed; preliminary studies (prohibited qualifier); Made in USA false claim,RCT required but not available,YES,PENDING
CO-0148,Supplement Co. 148,sleep_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),8,51744.0,413952.0,civil_penalty_settlement,2024-12-13,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; fake reviews; promising results (prohibited qualifier); clinically demonstrated without RCT; scientifically proven without evidence; preliminary studies (prohibited qualifier); undisclosed paid endorsement; Made in USA false claim,RCT required but not available,NO,RESOLVED
CO-0149,Supplement Co. 149,probiotic_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,ongoing_investigation,2024-05-13,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; promising results (prohibited qualifier); preliminary studies (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0150,Supplement Co. 150,digestive_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-03-23,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; promising results (prohibited qualifier); fake reviews; results not typical disclaimer; preliminary studies (prohibited qualifier); biodegradable false claim; clinically demonstrated without RCT,RCT required but not available,NO,PENDING
CO-0151,Supplement Co. 151,beauty_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),7,51744.0,465696.0,civil_penalty_settlement,2024-12-22,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; clinically demonstrated without RCT; promising results (prohibited qualifier); Made in USA false claim; results not typical disclaimer; scientifically proven without evidence; fake reviews,RCT required but not available,YES,RESOLVED
CO-0152,Supplement Co. 152,beauty_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-09-13,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; may help support (prohibited qualifier); Made in USA false claim; preliminary studies (prohibited qualifier); undisclosed paid endorsement,RCT required but not available,NO,RESOLVED
CO-0153,Supplement Co. 153,digestive_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,consent_order,2024-09-23,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence,RCT required but not available,NO,RESOLVED
CO-0154,Supplement Co. 154,immune_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,no_action_letter,2024-09-02,None,promising results (prohibited qualifier); Made in USA false claim; may help support (prohibited qualifier); results not typical disclaimer,RCT required but not available,NO,RESOLVED
CO-0155,Supplement Co. 155,beauty_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-11-05,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; clinically demonstrated without RCT; review suppression; promising results (prohibited qualifier); undisclosed paid endorsement; may help support (prohibited qualifier); Made in USA false claim; results not typical disclaimer,RCT required but not available,YES,PENDING
CO-0156,Supplement Co. 156,probiotic_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),1,51744.0,155232.0,civil_penalty_settlement,2024-02-16,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement,RCT required but not available,NO,RESOLVED
CO-0157,Supplement Co. 157,energy_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-05-04,None,fake reviews; may help support (prohibited qualifier); biodegradable false claim; preliminary studies (prohibited qualifier); review suppression; insider reviews undisclosed; results not typical disclaimer; promising results (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0158,Supplement Co. 158,weight_loss_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,voluntary_correction,2024-02-18,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; results not typical disclaimer; insider reviews undisclosed; Made in USA false claim; may help support (prohibited qualifier); review suppression,RCT required but not available,YES,OPEN
CO-0159,Supplement Co. 159,beauty_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,no_action_letter,2024-06-22,None,biodegradable false claim,RCT required but not available,YES,RESOLVED
CO-0160,Supplement Co. 160,digestive_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,no_action_letter,2024-08-22,None,fake reviews; biodegradable false claim; preliminary studies (prohibited qualifier); insider reviews undisclosed; promising results (prohibited qualifier); undisclosed paid endorsement; scientifically proven without evidence,RCT required but not available,YES,RESOLVED
CO-0161,Supplement Co. 161,beauty_supplement,2023-04-19,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,consent_order,2024-02-15,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement; biodegradable false claim; results not typical disclaimer,RCT required but not available,YES,RESOLVED
CO-0162,Supplement Co. 162,digestive_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,no_action_letter,2024-03-03,None,scientifically proven without evidence; clinically demonstrated without RCT; promising results (prohibited qualifier); review suppression; may help support (prohibited qualifier); insider reviews undisclosed,RCT required but not available,YES,PENDING
CO-0163,Supplement Co. 163,digestive_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),1,51744.0,724416.0,civil_penalty_settlement,2024-01-20,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0164,Supplement Co. 164,digestive_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),1,51744.0,465696.0,civil_penalty_settlement,2024-07-06,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim,RCT required but not available,YES,RESOLVED
CO-0165,Supplement Co. 165,digestive_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),3,51744.0,362208.0,civil_penalty_settlement,2024-05-07,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); biodegradable false claim; fake reviews,RCT required but not available,YES,RESOLVED
CO-0166,Supplement Co. 166,cognitive_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,consent_order,2024-01-20,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim,RCT required but not available,NO,PENDING
CO-0167,Supplement Co. 167,energy_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,voluntary_correction,2024-01-14,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT,RCT required but not available,NO,OPEN
CO-0168,Supplement Co. 168,weight_loss_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,ongoing_investigation,2024-07-12,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; undisclosed paid endorsement; results not typical disclaimer; may help support (prohibited qualifier),RCT required but not available,NO,RESOLVED
CO-0169,Supplement Co. 169,sleep_supplement,2023-04-17,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,consent_order,2024-03-23,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; Made in USA false claim; insider reviews undisclosed; undisclosed paid endorsement; clinically demonstrated without RCT,RCT required but not available,NO,OPEN
CO-0170,Supplement Co. 170,beauty_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,ongoing_investigation,2024-07-24,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); biodegradable false claim; undisclosed paid endorsement; Made in USA false claim; scientifically proven without evidence; results not typical disclaimer; clinically demonstrated without RCT; fake reviews,RCT required but not available,NO,OPEN
CO-0171,Supplement Co. 171,energy_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,no_action_letter,2024-03-08,None,promising results (prohibited qualifier); fake reviews,RCT required but not available,YES,PENDING
CO-0172,Supplement Co. 172,beauty_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,voluntary_correction,2024-08-17,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; fake reviews; may help support (prohibited qualifier); clinically demonstrated without RCT,RCT required but not available,NO,PENDING
CO-0173,Supplement Co. 173,anti_aging_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-07-21,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; results not typical disclaimer; insider reviews undisclosed; biodegradable false claim; review suppression; preliminary studies (prohibited qualifier); fake reviews,RCT required but not available,YES,RESOLVED
CO-0174,Supplement Co. 174,anti_aging_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-05-06,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; results not typical disclaimer; may help support (prohibited qualifier); scientifically proven without evidence; promising results (prohibited qualifier),RCT required but not available,NO,RESOLVED
CO-0175,Supplement Co. 175,energy_supplement,2023-04-19,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-01-19,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; clinically demonstrated without RCT; insider reviews undisclosed; undisclosed paid endorsement; preliminary studies (prohibited qualifier); scientifically proven without evidence; promising results (prohibited qualifier); results not typical disclaimer,RCT required but not available,NO,OPEN
CO-0176,Supplement Co. 176,energy_supplement,2023-04-22,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,voluntary_correction,2024-08-12,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; fake reviews; review suppression; Made in USA false claim,RCT required but not available,YES,RESOLVED
CO-0177,Supplement Co. 177,anti_aging_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-08-10,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; undisclosed paid endorsement; biodegradable false claim; clinically demonstrated without RCT; review suppression; preliminary studies (prohibited qualifier); fake reviews,RCT required but not available,NO,RESOLVED
CO-0178,Supplement Co. 178,anti_aging_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,consent_order,2024-04-23,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); Made in USA false claim,RCT required but not available,NO,PENDING
CO-0179,Supplement Co. 179,probiotic_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),6,51744.0,517440.0,civil_penalty_settlement,2024-03-28,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; may help support (prohibited qualifier); fake reviews; scientifically proven without evidence; results not typical disclaimer; clinically demonstrated without RCT,RCT required but not available,NO,RESOLVED
CO-0180,Supplement Co. 180,immune_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,voluntary_correction,2024-03-11,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; insider reviews undisclosed; may help support (prohibited qualifier); Made in USA false claim; review suppression; preliminary studies (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0181,Supplement Co. 181,immune_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,consent_order,2024-01-10,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); clinically demonstrated without RCT; biodegradable false claim; preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0182,Supplement Co. 182,weight_loss_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-05-02,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement; biodegradable false claim; fake reviews; scientifically proven without evidence; Made in USA false claim,RCT required but not available,NO,OPEN
CO-0183,Supplement Co. 183,weight_loss_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,voluntary_correction,2024-12-05,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; scientifically proven without evidence; undisclosed paid endorsement; may help support (prohibited qualifier); preliminary studies (prohibited qualifier); biodegradable false claim; results not typical disclaimer; fake reviews,RCT required but not available,NO,OPEN
CO-0184,Supplement Co. 184,probiotic_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),2,51744.0,465696.0,civil_penalty_settlement,2024-07-19,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; biodegradable false claim,RCT required but not available,YES,OPEN
CO-0185,Supplement Co. 185,energy_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,voluntary_correction,2024-12-03,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; clinically demonstrated without RCT; promising results (prohibited qualifier); fake reviews; biodegradable false claim,RCT required but not available,NO,PENDING
CO-0186,Supplement Co. 186,cognitive_supplement,2023-04-22,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-01-24,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); review suppression; insider reviews undisclosed; clinically demonstrated without RCT; may help support (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0187,Supplement Co. 187,cognitive_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),2,51744.0,465696.0,civil_penalty_settlement,2024-05-25,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; insider reviews undisclosed,RCT required but not available,NO,PENDING
CO-0188,Supplement Co. 188,anti_aging_supplement,2023-04-22,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,no_action_letter,2024-06-02,None,Made in USA false claim; biodegradable false claim; clinically demonstrated without RCT; scientifically proven without evidence; insider reviews undisclosed; undisclosed paid endorsement; results not typical disclaimer,RCT required but not available,NO,PENDING
CO-0189,Supplement Co. 189,digestive_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-04-24,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); scientifically proven without evidence; may help support (prohibited qualifier); biodegradable false claim; review suppression,RCT required but not available,NO,OPEN
CO-0190,Supplement Co. 190,digestive_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,no_action_letter,2024-10-19,None,clinically demonstrated without RCT; undisclosed paid endorsement; insider reviews undisclosed,RCT required but not available,YES,RESOLVED
CO-0191,Supplement Co. 191,probiotic_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,consent_order,2024-08-26,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; insider reviews undisclosed; fake reviews; review suppression; scientifically proven without evidence; may help support (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0192,Supplement Co. 192,beauty_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,consent_order,2024-08-24,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); scientifically proven without evidence; insider reviews undisclosed; undisclosed paid endorsement; biodegradable false claim; Made in USA false claim,RCT required but not available,YES,PENDING
CO-0193,Supplement Co. 193,immune_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,no_action_letter,2024-08-06,None,insider reviews undisclosed; may help support (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0194,Supplement Co. 194,energy_supplement,2023-04-22,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,ongoing_investigation,2024-07-11,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); clinically demonstrated without RCT; preliminary studies (prohibited qualifier); scientifically proven without evidence; fake reviews; undisclosed paid endorsement,RCT required but not available,NO,PENDING
CO-0195,Supplement Co. 195,anti_aging_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-05-10,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; results not typical disclaimer; Made in USA false claim; fake reviews; undisclosed paid endorsement; biodegradable false claim; insider reviews undisclosed; preliminary studies (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0196,Supplement Co. 196,sleep_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,no_action_letter,2024-08-06,None,preliminary studies (prohibited qualifier); may help support (prohibited qualifier); fake reviews; clinically demonstrated without RCT; promising results (prohibited qualifier); biodegradable false claim; Made in USA false claim,RCT required but not available,NO,PENDING
CO-0197,Supplement Co. 197,sleep_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,consent_order,2024-06-03,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; undisclosed paid endorsement; promising results (prohibited qualifier); may help support (prohibited qualifier); insider reviews undisclosed; biodegradable false claim; results not typical disclaimer,RCT required but not available,YES,OPEN
CO-0198,Supplement Co. 198,digestive_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,no_action_letter,2024-10-07,None,results not typical disclaimer,RCT required but not available,NO,PENDING
CO-0199,Supplement Co. 199,digestive_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,consent_order,2024-11-01,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; scientifically proven without evidence; review suppression; insider reviews undisclosed; clinically demonstrated without RCT; undisclosed paid endorsement; biodegradable false claim,RCT required but not available,NO,OPEN
CO-0200,Supplement Co. 200,immune_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),4,51744.0,258720.0,civil_penalty_settlement,2024-02-25,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; undisclosed paid endorsement; insider reviews undisclosed; clinically demonstrated without RCT,RCT required but not available,NO,RESOLVED
CO-0201,Supplement Co. 201,weight_loss_supplement,2023-04-19,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,voluntary_correction,2024-10-18,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; may help support (prohibited qualifier); clinically demonstrated without RCT; undisclosed paid endorsement; promising results (prohibited qualifier); Made in USA false claim; results not typical disclaimer; biodegradable false claim,RCT required but not available,YES,OPEN
CO-0202,Supplement Co. 202,immune_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-11-20,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; Made in USA false claim; preliminary studies (prohibited qualifier); fake reviews; undisclosed paid endorsement,RCT required but not available,NO,RESOLVED
CO-0203,Supplement Co. 203,anti_aging_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,consent_order,2024-06-04,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; promising results (prohibited qualifier); fake reviews; Made in USA false claim; clinically demonstrated without RCT; review suppression; preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0204,Supplement Co. 204,beauty_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,ongoing_investigation,2024-07-28,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim,RCT required but not available,YES,RESOLVED
CO-0205,Supplement Co. 205,immune_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,consent_order,2024-07-02,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; fake reviews; scientifically proven without evidence; may help support (prohibited qualifier); review suppression,RCT required but not available,YES,PENDING
CO-0206,Supplement Co. 206,cognitive_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),6,51744.0,569184.0,civil_penalty_settlement,2024-09-07,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; preliminary studies (prohibited qualifier); Made in USA false claim; undisclosed paid endorsement; promising results (prohibited qualifier); results not typical disclaimer,RCT required but not available,YES,OPEN
CO-0207,Supplement Co. 207,immune_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,no_action_letter,2024-12-02,None,preliminary studies (prohibited qualifier); may help support (prohibited qualifier); undisclosed paid endorsement,RCT required but not available,YES,RESOLVED
CO-0208,Supplement Co. 208,anti_aging_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,voluntary_correction,2024-01-27,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; clinically demonstrated without RCT; review suppression,RCT required but not available,NO,OPEN
CO-0209,Supplement Co. 209,weight_loss_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,no_action_letter,2024-09-22,None,scientifically proven without evidence,RCT required but not available,NO,OPEN
CO-0210,Supplement Co. 210,sleep_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-10-28,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement; fake reviews; may help support (prohibited qualifier); biodegradable false claim; scientifically proven without evidence; review suppression; promising results (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0211,Supplement Co. 211,sleep_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,no_action_letter,2024-02-19,None,review suppression; may help support (prohibited qualifier); preliminary studies (prohibited qualifier); biodegradable false claim; insider reviews undisclosed; results not typical disclaimer,RCT required but not available,YES,OPEN
CO-0212,Supplement Co. 212,energy_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),5,51744.0,258720.0,civil_penalty_settlement,2024-10-28,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; preliminary studies (prohibited qualifier); clinically demonstrated without RCT; results not typical disclaimer; may help support (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0213,Supplement Co. 213,immune_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,consent_order,2024-11-25,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed,RCT required but not available,NO,OPEN
CO-0214,Supplement Co. 214,energy_supplement,2023-04-19,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,consent_order,2024-07-24,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; scientifically proven without evidence; biodegradable false claim,RCT required but not available,YES,RESOLVED
CO-0215,Supplement Co. 215,digestive_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,consent_order,2024-12-08,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); biodegradable false claim; fake reviews; insider reviews undisclosed; scientifically proven without evidence; review suppression; clinically demonstrated without RCT,RCT required but not available,YES,PENDING
CO-0216,Supplement Co. 216,cognitive_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-04-05,None,fake reviews; preliminary studies (prohibited qualifier); undisclosed paid endorsement; scientifically proven without evidence; review suppression; may help support (prohibited qualifier); clinically demonstrated without RCT; results not typical disclaimer,RCT required but not available,YES,OPEN
CO-0217,Supplement Co. 217,cognitive_supplement,2023-04-17,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,ongoing_investigation,2024-04-09,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; insider reviews undisclosed; may help support (prohibited qualifier); undisclosed paid endorsement; fake reviews; biodegradable false claim; preliminary studies (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0218,Supplement Co. 218,cognitive_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,ongoing_investigation,2024-07-28,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; Made in USA false claim; preliminary studies (prohibited qualifier); review suppression; insider reviews undisclosed; scientifically proven without evidence; promising results (prohibited qualifier); may help support (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0219,Supplement Co. 219,beauty_supplement,2023-04-17,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,no_action_letter,2024-11-13,None,Made in USA false claim; promising results (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0220,Supplement Co. 220,anti_aging_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,no_action_letter,2024-10-28,None,preliminary studies (prohibited qualifier); insider reviews undisclosed; biodegradable false claim; results not typical disclaimer,RCT required but not available,YES,RESOLVED
CO-0221,Supplement Co. 221,immune_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,ongoing_investigation,2024-03-28,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0222,Supplement Co. 222,beauty_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),6,51744.0,103488.0,civil_penalty_settlement,2024-12-05,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement; review suppression; biodegradable false claim; promising results (prohibited qualifier); insider reviews undisclosed; Made in USA false claim,RCT required but not available,YES,RESOLVED
CO-0223,Supplement Co. 223,probiotic_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),8,51744.0,362208.0,civil_penalty_settlement,2024-10-14,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; Made in USA false claim; fake reviews; scientifically proven without evidence; clinically demonstrated without RCT; promising results (prohibited qualifier); undisclosed paid endorsement; results not typical disclaimer,RCT required but not available,YES,RESOLVED
CO-0224,Supplement Co. 224,weight_loss_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,ongoing_investigation,2024-11-24,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence,RCT required but not available,NO,RESOLVED
CO-0225,Supplement Co. 225,probiotic_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,voluntary_correction,2024-03-20,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; fake reviews; preliminary studies (prohibited qualifier),RCT required but not available,NO,RESOLVED
CO-0226,Supplement Co. 226,anti_aging_supplement,2023-04-19,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-04-06,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; promising results (prohibited qualifier); fake reviews; clinically demonstrated without RCT; Made in USA false claim; biodegradable false claim; insider reviews undisclosed,RCT required but not available,NO,PENDING
CO-0227,Supplement Co. 227,weight_loss_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),8,51744.0,206976.0,civil_penalty_settlement,2024-02-22,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; may help support (prohibited qualifier); preliminary studies (prohibited qualifier); fake reviews; results not typical disclaimer; biodegradable false claim; review suppression; clinically demonstrated without RCT,RCT required but not available,YES,RESOLVED
CO-0228,Supplement Co. 228,beauty_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),4,51744.0,672672.0,civil_penalty_settlement,2024-09-19,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); Made in USA false claim; fake reviews; undisclosed paid endorsement,RCT required but not available,NO,RESOLVED
CO-0229,Supplement Co. 229,anti_aging_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),4,51744.0,103488.0,civil_penalty_settlement,2024-05-27,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); undisclosed paid endorsement; clinically demonstrated without RCT; insider reviews undisclosed,RCT required but not available,NO,RESOLVED
CO-0230,Supplement Co. 230,digestive_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,no_action_letter,2024-02-01,None,fake reviews; scientifically proven without evidence; undisclosed paid endorsement; may help support (prohibited qualifier); insider reviews undisclosed,RCT required but not available,YES,PENDING
