post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,reach,clicks,link_clicks,saves,shares,comments,likes,disclosure_pattern,disclosure_type,disclosure_timing,compliance_status,health_claim_detected,health_claim_category,health_claim_compliant,violation_category,penalty_exposure_usd,review_date,reviewer,resolution_status,resolution_action,resolution_date,legal_hold,notes,campaign_id,content_type,paid_partnership_tag,verbal_disclosure,visual_disclosure
SUPP-0298,@wellnesswithjenna,TikTok,2026-01-22,19:30:00,107459,27712,4.37,21965,2116,957,767,410,343,3396,"Ad: at beginning",adequate,pre-content,COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,None,0,2026-02-25,Jordan Ellis,RESOLVED,NONE,2026-02-28,No,"Influencer remediation tracking",CAMP-2026-009,Story,No,No,Yes
SUPP-0299,@probiotic_life,Instagram,2026-02-13,16:15:00,49425,19210,4.07,20345,1305,582,416,78,415,2371,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,§255.5,51744,2026-03-16,Alex Rivera (Ext.),IN_REVIEW,ESCALATE TO CCO,N/A,No,"Post-CEO-retraction review round",CAMP-2026-017,Short video (<60s),No,No,No
SUPP-0300,@supplementspro,Twitter/X,2026-02-14,13:15:00,64028,27527,2.34,26075,1650,544,116,33,856,873,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-17,Jordan Ellis,RESOLVED,NONE,2026-03-21,No,"Supplemental audit batch March 2026",CAMP-2026-015,Podcast mention,No,No,No
SUPP-0301,@immunity_insider,Instagram Stories,2026-03-06,19:00:00,17200,6860,5.25,6101,454,204,132,77,44,809,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-09,Jordan Ellis,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Sarah Chen escalation review",CAMP-2026-016,Carousel,No,No,No
SUPP-0302,@probiotic_life,YouTube,2026-02-18,21:15:00,85207,41322,7.12,31167,2141,466,384,219,1515,4729,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Probiotic of choice for digestive health (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-21,Casey Park,OPEN,INFLUENCER NOTIFIED,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-009,Reel,No,No,No
SUPP-0303,@nutriscience,Instagram Stories,2026-03-02,15:00:00,94631,13155,0.94,12190,838,197,170,56,435,1411,"#ad at post beginning",adequate,pre-content,COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,None,0,2026-03-05,Casey Park,RESOLVED,NONE,2026-03-09,No,"Casey Park pre-launch clearance",CAMP-2026-015,Long video (>60s),No,No,Yes
SUPP-0304,@immunity_insider,YouTube,2026-01-06,07:45:00,112354,54135,0.5,42232,2692,1026,835,337,908,5959,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-02-09,Jordan Ellis,IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-006,Long video (>60s),No,No,No
SUPP-0305,@vitalitycoach,YouTube,2026-01-15,18:45:00,118647,30026,5.09,31893,902,393,770,435,903,3055,"#ad at post beginning",adequate,pre-content,COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,None,0,2026-02-18,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-22,No,"Sarah Chen escalation review",CAMP-2026-009,Podcast mention,No,No,Yes
SUPP-0306,@nourishednaturally,Twitter/X,2026-03-22,16:15:00,38939,11007,2.23,8171,369,167,202,79,233,1006,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-25,Casey Park,OPEN,CONTRACT UPDATED,N/A,No,"Influencer remediation tracking",CAMP-2026-016,Carousel,No,No,No
SUPP-0307,@wellnesswithjenna,Facebook,2026-02-17,09:15:00,98295,41319,1.94,35553,365,38,1208,573,976,2504,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-20,Casey Park,IN_REVIEW,ESCALATE TO CCO,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-013,Story,No,No,No
SUPP-0308,@cleanwellness,YouTube,2026-01-19,20:30:00,11679,3088,5.23,3260,118,66,23,7,114,400,"Ad: at beginning",adequate,pre-content,COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,None,0,2026-02-22,Casey Park,RESOLVED,NONE,2026-02-26,No,"Post-CEO-retraction review round",CAMP-2026-012,Live session,No,No,Yes
SUPP-0309,@guthealth_guru,LinkedIn,2026-01-03,19:15:00,100692,41399,4.94,40353,2756,1024,1017,221,1562,1097,"Verbal only (video)",adequate,pre-content,COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,None,0,2026-02-06,Casey Park,RESOLVED,NONE,2026-02-10,No,"Casey Park pre-launch clearance",CAMP-2026-008,Long video (>60s),No,Yes,No
SUPP-0310,@vitalitycoach,Reels,2026-01-24,18:30:00,16091,4430,5.22,4770,270,31,52,15,93,593,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-02-27,Jordan Ellis,PENDING,CONTRACT UPDATED,N/A,No,"Post-CEO-retraction review round",CAMP-2026-011,Carousel,No,No,No
SUPP-0311,@digestive_digest,Twitter/X,2026-03-04,21:15:00,65212,18464,3.25,18206,580,234,473,91,598,1160,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-03-07,Jordan Ellis,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-004,Carousel,No,No,No
SUPP-0312,@vitalitycoach,TikTok,2026-01-12,14:15:00,27202,6870,4.38,6454,81,32,39,43,93,899,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-02-15,Jordan Ellis,PENDING,MONITORING,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-017,Reel,No,No,No
SUPP-0313,@guthealth_guru,Snapchat,2026-01-20,15:30:00,114030,47687,6.85,43528,1858,1062,939,132,1389,6153,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,None,0,2026-02-23,Casey Park,RESOLVED,NONE,2026-02-27,No,"Influencer remediation tracking",CAMP-2026-005,Reel,No,No,No
SUPP-0314,@fitandfueled,Facebook,2026-01-24,19:15:00,86718,25764,3.14,28328,268,160,658,274,316,3174,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-02-27,Sarah Chen,PENDING,MONITORING,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-004,Live session,No,No,No
SUPP-0315,@probiotic_life,Snapchat,2026-02-02,13:45:00,42036,20151,1.22,19955,449,168,343,83,339,700,"Ad: at beginning",adequate,pre-content,COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,None,0,2026-03-05,Sarah Chen,RESOLVED,NONE,2026-03-09,No,"Supplemental audit batch March 2026",CAMP-2026-012,Live session,No,No,Yes
SUPP-0316,@vitamindiary,Facebook,2026-01-13,21:00:00,111822,33228,5.08,24879,2009,1118,957,69,1290,1042,"Verbal only (video)",adequate,pre-content,COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,None,0,2026-02-16,Jordan Ellis,RESOLVED,NONE,2026-02-20,No,"Quarterly disclosure audit",CAMP-2026-013,Static image,No,Yes,No
SUPP-0317,@probiotic_life,YouTube,2026-02-03,12:00:00,116438,62908,5.25,56323,1285,536,1141,716,1441,5650,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-06,Casey Park,IN_REVIEW,MONITORING,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-017,Blog post,Yes,No,No
SUPP-0318,@cleanwellness,Twitter/X,2026-02-22,17:45:00,14365,7183,4.38,6010,92,12,146,72,167,789,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-25,Sarah Chen,PENDING,CONTRACT UPDATED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-010,Reel,Yes,No,No
SUPP-0319,@cleanwellness,Facebook,2026-01-20,10:30:00,25712,9299,3.21,9043,132,58,109,73,86,735,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-02-23,Alex Rivera (Ext.),PENDING,UPDATE DISCLOSURE,N/A,No,"Sarah Chen escalation review",CAMP-2026-006,Long video (>60s),No,No,Yes
SUPP-0320,@supplementspro,Instagram,2026-01-14,16:30:00,48907,25756,0.52,27159,650,86,290,311,338,3322,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-02-17,Sarah Chen,PENDING,OBTAIN LEGAL REVIEW,N/A,No,"Influencer remediation tracking",CAMP-2026-001,Live session,No,No,No
SUPP-0321,@digestive_digest,Facebook,2026-02-19,22:00:00,72634,38044,0.78,31101,2023,1048,871,233,293,4304,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,§255.5,51744,2026-03-22,Sarah Chen,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Quarterly disclosure audit",CAMP-2026-007,Long video (>60s),No,No,No
SUPP-0322,@supplementspro,Twitter/X,2026-02-16,21:30:00,10285,1285,3.26,962,24,11,3,2,41,170,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-19,Jordan Ellis,PENDING,UPDATE DISCLOSURE,N/A,No,"Influencer remediation tracking",CAMP-2026-019,Long video (>60s),No,No,No
SUPP-0323,@wellnesswithjenna,Snapchat,2026-01-20,19:15:00,19228,2148,7.38,2157,55,6,62,17,23,113,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-02-23,Jordan Ellis,OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Post-CEO-retraction review round",CAMP-2026-001,Carousel,No,No,No
SUPP-0324,@fitandfueled,LinkedIn,2026-03-23,22:45:00,115545,44241,4.04,33827,1762,208,148,97,1544,6562,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-26,Casey Park,OPEN,CONTRACT UPDATED,N/A,No,"Quarterly disclosure audit",CAMP-2026-009,Story,No,No,No
SUPP-0325,@fitandfueled,YouTube,2026-01-26,07:00:00,107478,46409,3.13,48334,3619,2025,491,49,228,6304,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-02-28,Jordan Ellis,PENDING,ESCALATE TO CCO,N/A,No,"Post-CEO-retraction review round",CAMP-2026-004,Short video (<60s),No,No,No
SUPP-0326,@vitalitycoach,Facebook,2026-01-07,13:45:00,119975,31006,4.63,25822,1884,1005,351,69,287,2239,"Ad: at beginning",adequate,pre-content,COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,None,0,2026-02-10,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-14,No,"Post-CEO-retraction review round",CAMP-2026-019,Short video (<60s),No,No,Yes
SUPP-0327,@guthealth_guru,Instagram,2026-01-12,19:30:00,69287,19278,2.08,17837,1356,352,328,79,235,1221,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,§255.5,51744,2026-02-15,Casey Park,OPEN,COMPLIANT - NO ACTION,N/A,No,"Sarah Chen escalation review",CAMP-2026-019,Podcast mention,No,No,No
SUPP-0328,@vitalitycoach,Snapchat,2026-02-20,11:00:00,22968,7628,7.17,5385,200,119,162,8,51,649,"Verbal only (video)",adequate,pre-content,COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,None,0,2026-03-23,Jordan Ellis,RESOLVED,NONE,2026-03-27,No,"Post-update-1 compliance sweep",CAMP-2026-002,Podcast mention,No,Yes,No
SUPP-0329,@wellnesswithjenna,Instagram Stories,2026-02-03,20:00:00,65561,9198,3.65,6484,590,79,256,98,218,1020,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,§255.5,51744,2026-03-06,Alex Rivera (Ext.),PENDING,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-019,Long video (>60s),No,No,No
SUPP-0330,@nutriscience,Twitter/X,2026-03-14,20:00:00,42268,5539,1.57,4357,278,112,104,60,206,600,"#ad at post beginning",adequate,pre-content,COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,None,0,2026-03-17,Sarah Chen,RESOLVED,NONE,2026-03-21,No,"Influencer remediation tracking",CAMP-2026-001,Long video (>60s),No,No,Yes
SUPP-0331,@nutriscience,Pinterest,2026-02-10,17:30:00,52542,15749,0.56,12764,449,229,294,67,476,2069,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,§255.5,51744,2026-03-13,Alex Rivera (Ext.),OPEN,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-004,Short video (<60s),No,No,No
SUPP-0332,@cleanwellness,Snapchat,2026-03-15,20:45:00,24586,11402,2.89,8174,190,28,339,38,64,1696,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-18,Jordan Ellis,OPEN,MONITORING,N/A,No,"Quarterly disclosure audit",CAMP-2026-019,Live session,No,No,No
SUPP-0333,@immunity_insider,Twitter/X,2026-03-09,15:00:00,108134,33476,6.88,31306,1161,581,995,321,1092,3046,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-03-12,Alex Rivera (Ext.),IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Influencer remediation tracking",CAMP-2026-007,Blog post,No,No,No
SUPP-0334,@guthealth_guru,Twitter/X,2026-03-08,08:15:00,15663,4832,5.29,3929,128,46,124,43,63,313,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-11,Alex Rivera (Ext.),PENDING,ESCALATE TO CCO,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-001,Live session,No,No,No
SUPP-0335,@fitandfueled,Instagram,2026-02-22,15:30:00,97834,31420,1.13,23399,1593,747,751,32,1073,2773,"#ad first hashtag",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-25,Sarah Chen,RESOLVED,NONE,2026-03-28,No,"Post-update-1 compliance sweep",CAMP-2026-016,Carousel,No,No,Yes
SUPP-0336,@cleanwellness,LinkedIn,2026-01-18,12:45:00,104108,49666,6.2,46467,1920,501,412,267,573,1099,"Ad: at beginning",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-02-21,Sarah Chen,RESOLVED,NONE,2026-02-25,No,"Sarah Chen escalation review",CAMP-2026-019,Live session,No,No,Yes
SUPP-0337,@nourishednaturally,Pinterest,2026-01-19,21:00:00,111664,13692,6.43,12537,329,80,244,131,485,1960,"#ad first hashtag",adequate,pre-content,COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,None,0,2026-02-22,Jordan Ellis,RESOLVED,NONE,2026-02-26,No,"Influencer remediation tracking",CAMP-2026-002,Live session,No,No,Yes
SUPP-0338,@immunity_insider,Facebook,2026-03-21,23:45:00,49531,26450,5.58,20076,1213,546,577,235,369,2716,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-03-24,Alex Rivera (Ext.),PENDING,UPDATE DISCLOSURE,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-011,Blog post,Yes,No,No
SUPP-0339,@cleanwellness,LinkedIn,2026-02-14,08:30:00,80724,42245,4.62,31302,1832,540,664,472,1314,1113,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-17,Casey Park,PENDING,ESCALATE TO CCO,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-018,Carousel,No,No,No
SUPP-0340,@guthealth_guru,Snapchat,2026-03-05,09:45:00,114905,15128,5.08,16385,1036,286,227,125,415,755,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-08,Alex Rivera (Ext.),OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Quarterly disclosure audit",CAMP-2026-010,Long video (>60s),No,No,No
SUPP-0341,@nourishednaturally,Twitter/X,2026-01-20,23:30:00,28089,10196,6.82,8811,94,50,116,112,151,228,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-02-23,Casey Park,PENDING,REMOVE CLAIM,N/A,No,"Sarah Chen escalation review",CAMP-2026-004,Live session,No,No,No
SUPP-0342,@probiotic_life,TikTok,2026-01-13,17:30:00,34795,6063,1.67,4701,98,12,50,79,88,282,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-02-16,Sarah Chen,PENDING,OBTAIN LEGAL REVIEW,N/A,No,"Sarah Chen escalation review",CAMP-2026-004,Live session,Yes,No,No
SUPP-0343,@immunity_insider,TikTok,2026-02-18,13:45:00,18662,3562,5.26,3017,110,58,62,52,42,370,"#ad at post beginning",adequate,pre-content,COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,None,0,2026-03-21,Jordan Ellis,RESOLVED,NONE,2026-03-25,No,"Sarah Chen escalation review",CAMP-2026-006,Long video (>60s),No,No,Yes
SUPP-0344,@vitalitycoach,Reels,2026-02-17,16:45:00,70506,17388,3.81,16809,974,552,28,45,528,1962,"#ad first hashtag",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-20,Casey Park,RESOLVED,NONE,2026-03-24,No,"Quarterly disclosure audit",CAMP-2026-008,Podcast mention,No,No,Yes
SUPP-0345,@vitamindiary,Twitter/X,2026-02-20,14:00:00,110197,22145,5.42,16356,1405,782,292,71,561,1598,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-03-23,Sarah Chen,OPEN,ESCALATE TO CCO,N/A,No,"Influencer remediation tracking",CAMP-2026-011,Podcast mention,No,No,No
SUPP-0346,@fitandfueled,Instagram Stories,2026-03-17,23:45:00,50010,25321,7.13,23383,427,167,156,73,440,3610,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,None,0,2026-03-20,Casey Park,RESOLVED,NONE,2026-03-24,No,"Supplemental audit batch March 2026",CAMP-2026-012,Podcast mention,No,No,No
SUPP-0347,@cleanwellness,TikTok,2026-01-21,11:30:00,87217,40327,7.3,42047,552,64,568,48,1225,2526,"Verbal only (video)",adequate,pre-content,COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,None,0,2026-02-24,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-28,No,"Influencer remediation tracking",CAMP-2026-011,Live session,No,Yes,No
SUPP-0348,@vitalitycoach,YouTube,2026-01-10,14:30:00,72059,27864,0.77,29809,760,445,580,52,174,2429,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-02-13,Casey Park,PENDING,CONTRACT UPDATED,N/A,No,"Quarterly disclosure audit",CAMP-2026-009,Podcast mention,No,No,No
SUPP-0349,@microbiome_maven,Facebook,2026-03-05,08:00:00,117078,46312,3.09,46337,3287,1899,647,148,621,3664,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-08,Sarah Chen,IN_REVIEW,CONTRACT UPDATED,N/A,No,"Influencer remediation tracking",CAMP-2026-007,Long video (>60s),No,No,No
SUPP-0350,@digestive_digest,Reels,2026-02-03,21:15:00,20059,8423,1.08,7636,440,193,210,59,270,1138,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,None,0,2026-03-06,Sarah Chen,RESOLVED,NONE,2026-03-10,No,"Influencer remediation tracking",CAMP-2026-007,Reel,No,No,No
SUPP-0351,@vitalitycoach,Facebook,2026-02-16,10:15:00,68478,15205,2.2,13340,928,389,254,173,358,315,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,None,0,2026-03-19,Sarah Chen,RESOLVED,NONE,2026-03-23,No,"Quarterly disclosure audit",CAMP-2026-003,Static image,No,No,Yes
SUPP-0352,@microbiome_maven,Pinterest,2026-03-05,07:15:00,109670,33295,6.57,25324,616,207,635,247,389,1086,"#ad at post beginning",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-08,Casey Park,RESOLVED,NONE,2026-03-12,No,"Influencer remediation tracking",CAMP-2026-012,Live session,No,No,Yes
SUPP-0353,@digestive_digest,Facebook,2026-03-02,13:00:00,117745,61668,6.5,50876,3763,1773,1783,629,887,6171,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-03-05,Casey Park,IN_REVIEW,CONTRACT UPDATED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-012,Podcast mention,No,No,No
SUPP-0354,@fitandfueled,Twitter/X,2026-03-01,21:15:00,106094,20369,3.09,22130,461,149,452,195,774,1689,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-03-04,Jordan Ellis,OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Post-CEO-retraction review round",CAMP-2026-017,Reel,No,No,No
SUPP-0355,@nutriscience,TikTok,2026-03-05,15:45:00,41822,20723,5.92,15978,864,372,89,232,184,1141,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-03-08,Sarah Chen,PENDING,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-001,Long video (>60s),No,No,No
SUPP-0356,@wellnesswithjenna,Snapchat,2026-01-25,08:45:00,23008,7611,2.5,8318,270,37,191,49,132,404,"Ad: at beginning",adequate,pre-content,COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,None,0,2026-02-28,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-28,No,"Influencer remediation tracking",CAMP-2026-017,Reel,No,No,Yes
SUPP-0357,@supplementspro,Pinterest,2026-01-20,16:15:00,25623,13974,6.34,14051,190,35,333,52,186,2032,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-02-23,Jordan Ellis,PENDING,UPDATE DISCLOSURE,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-016,Reel,No,No,No
SUPP-0358,@probiotic_life,Instagram,2026-01-16,23:15:00,30984,12443,1.4,10145,672,392,128,61,109,742,"Ad: at beginning",adequate,pre-content,COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,None,0,2026-02-19,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-23,No,"Quarterly disclosure audit",CAMP-2026-003,Static image,No,No,Yes
SUPP-0359,@probiotic_life,Reels,2026-02-20,22:30:00,90889,46610,3.28,40603,3020,1556,560,516,1648,6745,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-23,Jordan Ellis,OPEN,ESCALATE TO CCO,N/A,No,"Post-CEO-retraction review round",CAMP-2026-001,Carousel,No,No,No
SUPP-0360,@probiotic_life,YouTube,2026-02-15,12:00:00,113715,45849,0.53,34152,3584,1632,482,569,1492,1448,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-03-18,Casey Park,IN_REVIEW,ESCALATE TO CCO,N/A,No,"Post-CEO-retraction review round",CAMP-2026-015,Podcast mention,No,No,No
SUPP-0361,@vitalitycoach,Reels,2026-03-21,19:00:00,11805,1822,0.81,1447,112,12,47,5,9,55,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-24,Sarah Chen,OPEN,UPDATE DISCLOSURE,N/A,No,"Post-CEO-retraction review round",CAMP-2026-011,Blog post,No,No,No
SUPP-0362,@vitalitycoach,Twitter/X,2026-03-18,18:00:00,51828,14883,3.52,12001,588,178,167,49,273,742,"Ad: at beginning",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-21,Sarah Chen,RESOLVED,NONE,2026-03-25,No,"Post-CEO-retraction review round",CAMP-2026-014,Short video (<60s),No,No,Yes
