hostname,ip,ssh_version,os,env,owner,is_vulnerable
host-s0274.internal.example.com,10.45.208.240,OpenSSH_9.2p1,Ubuntu 20.04,staging,data-infra,true
host-s0275.internal.example.com,10.22.115.55,OpenSSH_7.4p1,Ubuntu 20.04,staging,database,false
host-d0276.internal.example.com,10.40.101.37,OpenSSH_7.9p1,Debian 12,dev,frontend-infra,false
host-p0277.internal.example.com,10.41.25.158,OpenSSH_7.4p1,Amazon Linux 2,prod,backend,false
host-d0278.internal.example.com,10.38.162.196,OpenSSH_8.8p1,Ubuntu 20.04,dev,ml-platform,true
host-p0279.internal.example.com,10.32.184.18,OpenSSH_7.4p1,RHEL 7,prod,data-infra,false
host-p0280.internal.example.com,10.1.100.170,OpenSSH_8.4p1,RHEL 7,prod,monitoring,false
host-s0281.internal.example.com,10.27.86.16,OpenSSH_8.8p1,CentOS 7,staging,frontend-infra,true
host-d0282.internal.example.com,10.15.85.151,OpenSSH_9.4p1,Ubuntu 22.04,dev,api,true
host-d0283.internal.example.com,10.49.212.148,OpenSSH_8.9p1,RHEL 8,dev,security,true
host-s0284.internal.example.com,10.38.192.105,OpenSSH_8.4p1,Ubuntu 22.04,staging,ml-platform,false
host-p0285.internal.example.com,10.5.90.171,OpenSSH_9.5p1,RHEL 7,prod,api,true
host-p0286.internal.example.com,10.26.67.236,OpenSSH_8.5p1,RHEL 8,prod,devops,true
host-s0287.internal.example.com,10.46.131.156,OpenSSH_8.8p1,Ubuntu 20.04,staging,frontend-infra,true
host-p0288.internal.example.com,10.42.15.182,OpenSSH_9.8p1,RHEL 8,prod,database,false
host-d0289.internal.example.com,10.30.38.90,OpenSSH_9.8p1,Debian 12,dev,database,false
host-d0290.internal.example.com,10.29.118.20,OpenSSH_8.9p1,RHEL 7,dev,database,true
host-d0291.internal.example.com,10.24.186.56,OpenSSH_8.7p1,RHEL 8,dev,devops,true
host-s0292.internal.example.com,10.11.146.5,OpenSSH_8.8p1,RHEL 8,staging,devops,true
host-s0293.internal.example.com,10.4.66.24,OpenSSH_8.5p1,RHEL 8,staging,monitoring,true
host-d0294.internal.example.com,10.15.173.114,OpenSSH_8.9p1,Debian 12,dev,frontend-infra,true
host-p0295.internal.example.com,10.26.182.59,OpenSSH_9.0p1,Debian 12,prod,data-infra,true
host-p0296.internal.example.com,10.6.128.247,OpenSSH_7.9p1,Ubuntu 20.04,prod,backend,false
host-d0297.internal.example.com,10.29.222.210,OpenSSH_8.5p1,CentOS 7,dev,devops,true
host-d0298.internal.example.com,10.31.237.124,OpenSSH_9.2p1,CentOS 7,dev,data-infra,true
host-d0299.internal.example.com,10.10.24.53,OpenSSH_8.9p1,RHEL 9,dev,frontend-infra,true
host-p0300.internal.example.com,10.42.194.35,OpenSSH_9.8p1,RHEL 8,prod,sre,false
host-p0301.internal.example.com,10.12.75.65,OpenSSH_9.6p1,RHEL 7,prod,security,true
host-p0302.internal.example.com,10.32.172.128,OpenSSH_9.4p1,Ubuntu 20.04,prod,ml-platform,true
host-d0303.internal.example.com,10.26.165.206,OpenSSH_8.5p1,RHEL 8,dev,data-infra,true
host-p0304.internal.example.com,10.37.146.122,OpenSSH_9.0p1,CentOS 7,prod,devops,true
host-s0305.internal.example.com,10.26.171.156,OpenSSH_9.0p1,RHEL 8,staging,database,true
host-p0306.internal.example.com,10.43.120.96,OpenSSH_9.8p1,RHEL 7,prod,monitoring,false
host-p0307.internal.example.com,10.42.99.45,OpenSSH_7.9p1,CentOS 7,prod,ml-platform,false
host-p0308.internal.example.com,10.1.102.115,OpenSSH_8.6p1,CentOS 7,prod,backend,true
host-s0309.internal.example.com,10.39.146.28,OpenSSH_8.8p1,CentOS 7,staging,devops,true
host-p0310.internal.example.com,10.9.205.203,OpenSSH_9.1p1,Debian 12,prod,devops,true
host-d0311.internal.example.com,10.22.191.109,OpenSSH_9.2p1,Ubuntu 22.04,dev,api,true
host-s0312.internal.example.com,10.41.214.172,OpenSSH_9.3p2,CentOS 7,staging,api,true
host-p0313.internal.example.com,10.37.124.213,OpenSSH_8.7p1,RHEL 7,prod,ml-platform,true
host-s0314.internal.example.com,10.42.85.165,OpenSSH_9.4p1,Ubuntu 20.04,staging,backend,true
host-d0315.internal.example.com,10.37.32.156,OpenSSH_9.8p1,CentOS 7,dev,frontend-infra,false
host-s0316.internal.example.com,10.2.228.218,OpenSSH_7.9p1,RHEL 8,staging,backend,false
host-d0317.internal.example.com,10.42.189.73,OpenSSH_9.8p1,RHEL 7,dev,devops,false
host-p0318.internal.example.com,10.18.243.231,OpenSSH_7.9p1,RHEL 7,prod,ml-platform,false
host-d0319.internal.example.com,10.15.114.132,OpenSSH_9.7p1,Amazon Linux 2,dev,database,true
host-p0320.internal.example.com,10.40.90.162,OpenSSH_8.7p1,Amazon Linux 2,prod,sre,true
host-d0321.internal.example.com,10.3.78.110,OpenSSH_9.8p1,Debian 12,dev,ml-platform,false
host-p0322.internal.example.com,10.27.135.114,OpenSSH_9.8p1,RHEL 9,prod,ml-platform,false
host-d0323.internal.example.com,10.22.245.157,OpenSSH_9.8p1,RHEL 9,dev,api,false
host-p0324.internal.example.com,10.10.12.56,OpenSSH_9.7p1,CentOS 7,prod,database,true
host-p0325.internal.example.com,10.38.215.178,OpenSSH_9.5p1,RHEL 8,prod,database,true
host-s0326.internal.example.com,10.15.43.141,OpenSSH_9.7p1,Debian 12,staging,security,true
host-p0327.internal.example.com,10.33.78.251,OpenSSH_9.7p1,CentOS 7,prod,security,true
host-s0328.internal.example.com,10.36.169.191,OpenSSH_8.7p1,CentOS 7,staging,data-infra,true
host-d0329.internal.example.com,10.44.98.49,OpenSSH_8.7p1,RHEL 9,dev,database,true
host-p0330.internal.example.com,10.29.130.148,OpenSSH_8.8p1,Amazon Linux 2,prod,ml-platform,true
host-p0331.internal.example.com,10.6.122.184,OpenSSH_8.9p1,CentOS 7,prod,monitoring,true
host-s0332.internal.example.com,10.31.27.2,OpenSSH_8.9p1,RHEL 7,staging,security,true
host-p0333.internal.example.com,10.43.107.237,OpenSSH_7.4p1,CentOS 7,prod,security,false
host-p0334.internal.example.com,10.20.152.101,OpenSSH_8.8p1,Amazon Linux 2,prod,devops,true
host-d0335.internal.example.com,10.48.88.45,OpenSSH_7.4p1,Amazon Linux 2,dev,monitoring,false
host-s0336.internal.example.com,10.45.11.135,OpenSSH_8.6p1,Ubuntu 22.04,staging,security,true
host-p0337.internal.example.com,10.7.29.142,OpenSSH_7.4p1,Amazon Linux 2,prod,monitoring,false
host-p0338.internal.example.com,10.34.85.155,OpenSSH_9.6p1,Ubuntu 22.04,prod,backend,true
host-d0339.internal.example.com,10.19.127.177,OpenSSH_8.8p1,Ubuntu 22.04,dev,sre,true
host-d0340.internal.example.com,10.31.239.100,OpenSSH_7.9p1,RHEL 7,dev,devops,false
host-d0341.internal.example.com,10.16.134.77,OpenSSH_7.9p1,CentOS 7,dev,monitoring,false
host-p0342.internal.example.com,10.30.14.196,OpenSSH_9.3p2,RHEL 8,prod,database,true
host-d0343.internal.example.com,10.48.140.242,OpenSSH_8.9p1,CentOS 7,dev,backend,true
host-s0344.internal.example.com,10.14.181.65,OpenSSH_9.1p1,Debian 12,staging,data-infra,true
host-d0345.internal.example.com,10.36.11.139,OpenSSH_8.5p1,RHEL 8,dev,ml-platform,true
host-d0346.internal.example.com,10.3.100.160,OpenSSH_8.4p1,CentOS 7,dev,sre,false
host-d0347.internal.example.com,10.31.87.105,OpenSSH_8.6p1,CentOS 7,dev,backend,true
host-p0348.internal.example.com,10.12.210.49,OpenSSH_9.2p1,Ubuntu 20.04,prod,ml-platform,true
host-d0349.internal.example.com,10.1.82.159,OpenSSH_7.9p1,Ubuntu 22.04,dev,backend,false
host-p0350.internal.example.com,10.35.85.169,OpenSSH_9.5p1,Ubuntu 20.04,prod,devops,true
host-d0351.internal.example.com,10.39.8.168,OpenSSH_8.4p1,RHEL 9,dev,data-infra,false
host-p0352.internal.example.com,10.35.142.115,OpenSSH_9.7p1,RHEL 7,prod,frontend-infra,true
host-d0353.internal.example.com,10.11.239.240,OpenSSH_7.4p1,CentOS 7,dev,monitoring,false
host-s0354.internal.example.com,10.38.153.242,OpenSSH_9.1p1,Ubuntu 20.04,staging,frontend-infra,true
host-p0355.internal.example.com,10.17.55.55,OpenSSH_8.5p1,Ubuntu 22.04,prod,frontend-infra,true
host-p0356.internal.example.com,10.23.67.49,OpenSSH_7.4p1,Ubuntu 22.04,prod,frontend-infra,false
host-d0357.internal.example.com,10.46.123.46,OpenSSH_9.2p1,Amazon Linux 2,dev,sre,true
host-s0358.internal.example.com,10.29.211.218,OpenSSH_8.8p1,RHEL 7,staging,devops,true
host-p0359.internal.example.com,10.24.245.110,OpenSSH_9.0p1,RHEL 7,prod,api,true
host-p0360.internal.example.com,10.8.240.229,OpenSSH_9.0p1,RHEL 9,prod,security,true
host-p0361.internal.example.com,10.23.59.14,OpenSSH_8.8p1,CentOS 7,prod,ml-platform,true
host-p0362.internal.example.com,10.13.136.226,OpenSSH_7.9p1,RHEL 8,prod,security,false
host-p0363.internal.example.com,10.6.11.87,OpenSSH_9.4p1,CentOS 7,prod,ml-platform,true
host-p0364.internal.example.com,10.2.52.181,OpenSSH_9.0p1,RHEL 7,prod,devops,true
host-d0365.internal.example.com,10.14.173.110,OpenSSH_9.3p2,Ubuntu 22.04,dev,api,true
host-d0366.internal.example.com,10.40.199.34,OpenSSH_7.9p1,Debian 12,dev,frontend-infra,false
host-d0367.internal.example.com,10.29.58.81,OpenSSH_9.3p2,Ubuntu 20.04,dev,frontend-infra,true
host-p0368.internal.example.com,10.15.129.14,OpenSSH_9.4p1,RHEL 7,prod,sre,true
host-s0369.internal.example.com,10.11.138.202,OpenSSH_9.5p1,Debian 12,staging,devops,true
host-d0370.internal.example.com,10.20.13.58,OpenSSH_8.4p1,RHEL 9,dev,backend,false
host-p0371.internal.example.com,10.14.233.15,OpenSSH_8.4p1,RHEL 7,prod,security,false
host-p0372.internal.example.com,10.30.97.101,OpenSSH_8.5p1,Ubuntu 20.04,prod,ml-platform,true
host-p0373.internal.example.com,10.10.219.228,OpenSSH_8.3p1,Debian 12,prod,frontend-infra,false
host-p0374.internal.example.com,10.26.193.50,OpenSSH_9.6p1,Ubuntu 22.04,prod,ml-platform,true
host-d0375.internal.example.com,10.37.200.184,OpenSSH_9.0p1,Ubuntu 22.04,dev,sre,true
host-s0376.internal.example.com,10.38.235.191,OpenSSH_7.4p1,RHEL 8,staging,backend,false
host-p0377.internal.example.com,10.2.12.140,OpenSSH_9.6p1,RHEL 9,prod,security,true
host-s0378.internal.example.com,10.36.249.216,OpenSSH_8.9p1,RHEL 8,staging,data-infra,true
host-p0379.internal.example.com,10.37.89.249,OpenSSH_8.7p1,Amazon Linux 2,prod,monitoring,true
host-d0380.internal.example.com,10.25.76.254,OpenSSH_9.8p1,Debian 12,dev,data-infra,false
host-d0381.internal.example.com,10.26.104.204,OpenSSH_8.3p1,Ubuntu 20.04,dev,database,false
host-p0382.internal.example.com,10.29.28.50,OpenSSH_9.6p1,Debian 12,prod,security,true
host-d0383.internal.example.com,10.32.33.248,OpenSSH_8.5p1,Amazon Linux 2,dev,devops,true
host-p0384.internal.example.com,10.19.233.204,OpenSSH_9.7p1,CentOS 7,prod,backend,true
host-d0385.internal.example.com,10.24.90.163,OpenSSH_8.8p1,Ubuntu 22.04,dev,ml-platform,true
host-d0386.internal.example.com,10.43.198.63,OpenSSH_8.8p1,RHEL 8,dev,monitoring,true
host-s0387.internal.example.com,10.46.7.49,OpenSSH_9.1p1,RHEL 8,staging,monitoring,true
host-s0388.internal.example.com,10.29.153.20,OpenSSH_7.4p1,CentOS 7,staging,security,false
host-s0389.internal.example.com,10.17.234.161,OpenSSH_8.6p1,CentOS 7,staging,frontend-infra,true
host-s0390.internal.example.com,10.41.125.213,OpenSSH_7.9p1,Ubuntu 22.04,staging,database,false
host-s0391.internal.example.com,10.42.59.168,OpenSSH_9.8p1,Debian 12,staging,security,false
host-d0392.internal.example.com,10.44.168.97,OpenSSH_7.9p1,Ubuntu 22.04,dev,backend,false
host-p0393.internal.example.com,10.32.10.132,OpenSSH_9.5p1,Debian 12,prod,devops,true
host-s0394.internal.example.com,10.39.79.250,OpenSSH_7.4p1,RHEL 9,staging,devops,false
host-s0395.internal.example.com,10.28.57.209,OpenSSH_9.4p1,Amazon Linux 2,staging,devops,true
host-s0396.internal.example.com,10.33.201.166,OpenSSH_8.7p1,RHEL 9,staging,ml-platform,true
host-s0397.internal.example.com,10.10.100.66,OpenSSH_9.4p1,Ubuntu 22.04,staging,sre,true
host-p0398.internal.example.com,10.46.180.180,OpenSSH_8.9p1,Ubuntu 20.04,prod,sre,true
host-d0399.internal.example.com,10.15.152.11,OpenSSH_9.3p2,Amazon Linux 2,dev,ml-platform,true
host-d0400.internal.example.com,10.19.76.23,OpenSSH_7.9p1,Debian 12,dev,monitoring,false
host-p0401.internal.example.com,10.25.192.38,OpenSSH_9.7p1,Ubuntu 22.04,prod,database,true
host-d0402.internal.example.com,10.38.246.5,OpenSSH_9.6p1,Ubuntu 20.04,dev,backend,true
host-p0403.internal.example.com,10.13.150.63,OpenSSH_9.4p1,RHEL 9,prod,monitoring,true
host-s0404.internal.example.com,10.9.118.216,OpenSSH_9.5p1,RHEL 7,staging,ml-platform,true
host-d0405.internal.example.com,10.24.5.93,OpenSSH_9.8p1,RHEL 7,dev,devops,false
host-d0406.internal.example.com,10.21.140.211,OpenSSH_9.0p1,RHEL 8,dev,api,true
host-p0407.internal.example.com,10.37.186.72,OpenSSH_8.3p1,RHEL 7,prod,monitoring,false
host-s0408.internal.example.com,10.21.14.100,OpenSSH_8.8p1,Debian 12,staging,database,true
host-d0409.internal.example.com,10.5.82.185,OpenSSH_8.6p1,RHEL 8,dev,api,true
host-s0410.internal.example.com,10.25.159.151,OpenSSH_9.2p1,Ubuntu 22.04,staging,sre,true
host-p0411.internal.example.com,10.9.210.83,OpenSSH_9.6p1,Debian 12,prod,devops,true
host-s0412.internal.example.com,10.6.254.108,OpenSSH_9.4p1,Debian 12,staging,monitoring,true
host-d0413.internal.example.com,10.18.21.112,OpenSSH_9.7p1,Amazon Linux 2,dev,api,true
host-d0414.internal.example.com,10.8.57.226,OpenSSH_8.4p1,Ubuntu 20.04,dev,database,false
host-p0415.internal.example.com,10.3.171.100,OpenSSH_8.3p1,CentOS 7,prod,database,false
host-p0416.internal.example.com,10.2.135.95,OpenSSH_9.0p1,RHEL 9,prod,security,true
host-s0417.internal.example.com,10.3.97.234,OpenSSH_9.3p2,CentOS 7,staging,ml-platform,true
host-p0418.internal.example.com,10.37.3.235,OpenSSH_8.5p1,RHEL 7,prod,devops,true
host-p0419.internal.example.com,10.24.14.154,OpenSSH_9.8p1,Debian 12,prod,monitoring,false
host-s0420.internal.example.com,10.29.80.16,OpenSSH_9.5p1,RHEL 8,staging,data-infra,true
host-p0421.internal.example.com,10.22.113.97,OpenSSH_9.1p1,Ubuntu 20.04,prod,devops,true
host-p0422.internal.example.com,10.44.120.196,OpenSSH_8.5p1,RHEL 8,prod,api,true
host-p0423.internal.example.com,10.21.66.167,OpenSSH_7.9p1,RHEL 7,prod,devops,false
host-d0424.internal.example.com,10.20.214.217,OpenSSH_9.6p1,RHEL 7,dev,backend,true
host-s0425.internal.example.com,10.9.63.49,OpenSSH_9.2p1,Ubuntu 20.04,staging,sre,true
host-s0426.internal.example.com,10.50.213.238,OpenSSH_9.7p1,CentOS 7,staging,frontend-infra,true
host-p0427.internal.example.com,10.14.245.105,OpenSSH_8.5p1,RHEL 7,prod,api,true
host-p0428.internal.example.com,10.31.246.124,OpenSSH_8.6p1,Amazon Linux 2,prod,frontend-infra,true
host-d0429.internal.example.com,10.50.152.151,OpenSSH_9.3p2,RHEL 8,dev,ml-platform,true
host-s0430.internal.example.com,10.34.1.245,OpenSSH_8.8p1,Debian 12,staging,security,true
host-p0431.internal.example.com,10.37.33.174,OpenSSH_8.4p1,RHEL 8,prod,frontend-infra,false
host-s0432.internal.example.com,10.39.159.94,OpenSSH_9.7p1,Debian 12,staging,api,true
host-p0433.internal.example.com,10.43.94.157,OpenSSH_8.6p1,Ubuntu 22.04,prod,monitoring,true
host-p0434.internal.example.com,10.2.63.184,OpenSSH_9.5p1,Amazon Linux 2,prod,security,true
host-p0435.internal.example.com,10.9.219.214,OpenSSH_8.3p1,RHEL 9,prod,security,false
host-s0436.internal.example.com,10.24.132.135,OpenSSH_9.3p2,RHEL 7,staging,monitoring,true
host-s0437.internal.example.com,10.38.191.20,OpenSSH_8.5p1,Amazon Linux 2,staging,api,true
host-d0438.internal.example.com,10.25.36.174,OpenSSH_7.9p1,RHEL 9,dev,sre,false
host-p0439.internal.example.com,10.21.146.230,OpenSSH_7.4p1,RHEL 8,prod,frontend-infra,false
host-p0440.internal.example.com,10.48.13.16,OpenSSH_8.4p1,Ubuntu 20.04,prod,sre,false
host-p0441.internal.example.com,10.31.189.229,OpenSSH_9.6p1,RHEL 8,prod,ml-platform,true
host-p0442.internal.example.com,10.5.11.191,OpenSSH_8.8p1,Amazon Linux 2,prod,ml-platform,true
host-d0443.internal.example.com,10.15.5.223,OpenSSH_7.9p1,Ubuntu 20.04,dev,database,false
host-d0444.internal.example.com,10.22.9.138,OpenSSH_9.2p1,Ubuntu 22.04,dev,security,true
host-d0445.internal.example.com,10.39.234.185,OpenSSH_9.3p2,Ubuntu 20.04,dev,database,true
host-s0446.internal.example.com,10.15.224.233,OpenSSH_9.1p1,Ubuntu 20.04,staging,api,true
host-s0447.internal.example.com,10.40.174.197,OpenSSH_9.8p1,Ubuntu 22.04,staging,sre,false
host-p0448.internal.example.com,10.36.186.66,OpenSSH_8.4p1,RHEL 9,prod,security,false
host-p0449.internal.example.com,10.31.247.224,OpenSSH_9.3p2,RHEL 8,prod,ml-platform,true
host-p0450.internal.example.com,10.44.125.126,OpenSSH_8.5p1,RHEL 8,prod,api,true
host-p0451.internal.example.com,10.19.196.110,OpenSSH_8.8p1,Debian 12,prod,backend,true
host-p0452.internal.example.com,10.36.70.60,OpenSSH_7.9p1,Ubuntu 22.04,prod,database,false
host-d0453.internal.example.com,10.30.211.38,OpenSSH_9.6p1,RHEL 9,dev,frontend-infra,true
host-s0454.internal.example.com,10.27.78.135,OpenSSH_9.6p1,Amazon Linux 2,staging,frontend-infra,true
host-p0455.internal.example.com,10.32.202.188,OpenSSH_9.6p1,Amazon Linux 2,prod,sre,true
host-d0456.internal.example.com,10.26.233.160,OpenSSH_9.5p1,Amazon Linux 2,dev,monitoring,true
host-p0457.internal.example.com,10.30.202.51,OpenSSH_9.0p1,RHEL 8,prod,ml-platform,true
host-d0458.internal.example.com,10.24.202.199,OpenSSH_7.9p1,Debian 12,dev,database,false
host-p0459.internal.example.com,10.3.252.68,OpenSSH_9.2p1,Ubuntu 20.04,prod,ml-platform,true
host-p0460.internal.example.com,10.14.166.189,OpenSSH_8.5p1,Ubuntu 22.04,prod,api,true
host-d0461.internal.example.com,10.40.190.14,OpenSSH_9.3p2,RHEL 7,dev,frontend-infra,true
host-s0462.internal.example.com,10.26.43.201,OpenSSH_8.7p1,RHEL 9,staging,data-infra,true
host-d0463.internal.example.com,10.19.231.18,OpenSSH_8.4p1,RHEL 9,dev,api,false
host-p0464.internal.example.com,10.50.11.18,OpenSSH_9.2p1,Amazon Linux 2,prod,devops,true
host-d0465.internal.example.com,10.9.77.143,OpenSSH_9.0p1,Debian 12,dev,data-infra,true
host-p0466.internal.example.com,10.41.202.161,OpenSSH_8.5p1,RHEL 9,prod,security,true
host-d0467.internal.example.com,10.43.149.129,OpenSSH_9.2p1,Ubuntu 22.04,dev,data-infra,true
host-s0468.internal.example.com,10.40.7.77,OpenSSH_8.5p1,Ubuntu 20.04,staging,sre,true
host-s0469.internal.example.com,10.50.82.230,OpenSSH_9.6p1,Ubuntu 20.04,staging,frontend-infra,true
host-d0470.internal.example.com,10.35.140.136,OpenSSH_9.3p2,RHEL 7,dev,backend,true
host-d0471.internal.example.com,10.3.64.114,OpenSSH_8.9p1,RHEL 8,dev,backend,true
host-p0472.internal.example.com,10.27.42.7,OpenSSH_9.6p1,Ubuntu 20.04,prod,database,true
host-s0473.internal.example.com,10.44.47.195,OpenSSH_8.7p1,Amazon Linux 2,staging,monitoring,true
host-p0474.internal.example.com,10.9.107.60,OpenSSH_9.3p2,Ubuntu 22.04,prod,sre,true
host-p0475.internal.example.com,10.42.196.46,OpenSSH_9.0p1,RHEL 9,prod,data-infra,true
host-s0476.internal.example.com,10.37.228.99,OpenSSH_9.5p1,Debian 12,staging,data-infra,true
host-s0477.internal.example.com,10.33.234.53,OpenSSH_9.2p1,RHEL 8,staging,ml-platform,true
host-d0478.internal.example.com,10.49.32.155,OpenSSH_9.3p2,Ubuntu 22.04,dev,api,true
host-d0479.internal.example.com,10.5.251.67,OpenSSH_8.8p1,CentOS 7,dev,frontend-infra,true
host-p0480.internal.example.com,10.35.64.234,OpenSSH_8.8p1,RHEL 7,prod,devops,true
host-p0481.internal.example.com,10.19.223.81,OpenSSH_9.1p1,CentOS 7,prod,api,true
host-s0482.internal.example.com,10.24.177.148,OpenSSH_8.5p1,Ubuntu 22.04,staging,sre,true
host-d0483.internal.example.com,10.46.107.50,OpenSSH_9.7p1,Amazon Linux 2,dev,monitoring,true
host-d0484.internal.example.com,10.8.12.9,OpenSSH_8.5p1,RHEL 9,dev,data-infra,true
host-d0485.internal.example.com,10.4.15.52,OpenSSH_9.7p1,CentOS 7,dev,api,true
host-d0486.internal.example.com,10.6.91.217,OpenSSH_7.4p1,Amazon Linux 2,dev,frontend-infra,false
host-p0487.internal.example.com,10.10.221.123,OpenSSH_9.0p1,RHEL 8,prod,api,true
host-p0488.internal.example.com,10.39.157.65,OpenSSH_8.9p1,Ubuntu 20.04,prod,database,true
host-p0489.internal.example.com,10.39.82.19,OpenSSH_8.8p1,Ubuntu 20.04,prod,monitoring,true
host-d0490.internal.example.com,10.7.146.134,OpenSSH_8.5p1,Debian 12,dev,security,true
host-d0491.internal.example.com,10.7.151.40,OpenSSH_8.8p1,RHEL 9,dev,monitoring,true
host-p0492.internal.example.com,10.23.20.95,OpenSSH_8.9p1,Amazon Linux 2,prod,security,true
host-d0493.internal.example.com,10.17.209.219,OpenSSH_7.9p1,RHEL 9,dev,ml-platform,false
host-p0494.internal.example.com,10.19.180.74,OpenSSH_9.7p1,Ubuntu 20.04,prod,api,true
host-p0495.internal.example.com,10.31.80.53,OpenSSH_7.9p1,Amazon Linux 2,prod,security,false
host-s0496.internal.example.com,10.27.59.228,OpenSSH_8.4p1,Ubuntu 20.04,staging,security,false
host-s0497.internal.example.com,10.28.218.48,OpenSSH_8.8p1,RHEL 8,staging,security,true
host-p0498.internal.example.com,10.33.71.122,OpenSSH_8.3p1,CentOS 7,prod,devops,false
host-d0499.internal.example.com,10.50.205.170,OpenSSH_8.4p1,Ubuntu 22.04,dev,sre,false
host-d0500.internal.example.com,10.28.90.189,OpenSSH_8.8p1,Debian 12,dev,backend,true
