assessment_id,facility_id,facility_type,state,device_serial,software_version,battery_health_pct,battery_cycles,last_service_date,assessment_date,risk_category,action_required,update_completed,battery_replaced,post_update_version,notes
ASMNT-00001,FAC-CO-205,Home-Health,CO,IVX-294293,5.10.0,92.3,57,2024-12-03,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.3%; 57 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00097,FAC-CO-874,Outpatient-Infusion,CO,IVX-377783,5.9.2,92.9,59,2024-03-28,2025-11-15,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.9%; 59 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00098,FAC-MS-562,Home-Health,MS,IVX-560022,5.9.3,86.7,297,2025-07-12,2025-12-13,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.7%; 297 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00099,FAC-ID-708,Outpatient-Infusion,ID,IVX-279964,5.10.0,80.5,238,2024-08-20,2025-12-06,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 80.5%; 238 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00100,FAC-NE-434,Long-Term-Care,NE,IVX-783929,5.10.0,84.1,95,2023-11-09,2025-11-13,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 84.1%; 95 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00101,FAC-VA-343,Home-Health,VA,IVX-919435,5.10.1,97.3,16,2023-02-08,2025-12-17,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 97.3%; 16 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00102,FAC-NE-988,Hospital-Community,NE,IVX-224004,5.10.1,49.3,125,2025-05-26,2025-12-18,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 49.3%; 125 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00103,FAC-NJ-955,Outpatient-Infusion,NJ,IVX-487399,5.10.1,73.9,254,2024-05-15,2025-11-03,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 73.9%; 254 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00104,FAC-NV-394,Outpatient-Infusion,NV,IVX-454776,5.10.1,90.1,160,2025-05-26,2025-12-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 90.1%; 160 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00105,FAC-NE-249,Outpatient-Infusion,NE,IVX-889101,5.10.0,92.1,128,2025-12-05,2025-12-15,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.1%; 128 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00106,FAC-WI-329,Long-Term-Care,WI,IVX-544369,5.10.0,87.1,261,2025-07-04,2025-11-02,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 87.1%; 261 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00107,FAC-NJ-904,Long-Term-Care,NJ,IVX-149511,5.10.1,58.5,302,2024-09-18,2025-11-01,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 58.5%; 302 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00108,FAC-CO-924,Outpatient-Infusion,CO,IVX-349971,5.10.1,93.3,230,2023-10-03,2025-11-21,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 93.3%; 230 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00109,FAC-VA-383,Outpatient-Infusion,VA,IVX-363483,5.9.3,60.8,217,2023-03-24,2025-11-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 60.8%; 217 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00110,FAC-CA-505,Long-Term-Care,CA,IVX-265278,5.9.3,96.9,197,2024-11-03,2025-11-13,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 96.9%; 197 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00111,FAC-IL-991,Outpatient-Infusion,IL,IVX-300556,5.10.0,69.8,73,2025-10-19,2025-12-16,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 69.8%; 73 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00112,FAC-NE-500,Home-Health,NE,IVX-180913,5.9.2,92.1,303,2023-05-20,2025-12-22,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.1%; 303 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00113,FAC-MI-531,Hospital-Academic,MI,IVX-608846,5.10.0,70.9,308,2024-05-02,2025-11-12,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 70.9%; 308 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00114,FAC-SC-747,Hospital-Community,SC,IVX-606423,5.10.0,92.1,15,2025-09-19,2025-11-26,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.1%; 15 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00115,FAC-MD-632,Outpatient-Infusion,MD,IVX-482358,5.10.1,47.6,166,2023-02-01,2025-12-16,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 47.6%; 166 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00116,FAC-CO-695,Outpatient-Infusion,CO,IVX-390909,5.9.3,47.4,264,2023-08-08,2025-11-11,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 47.4%; 264 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00117,FAC-TX-256,Outpatient-Infusion,TX,IVX-756837,5.9.2,83.0,135,2025-07-08,2025-11-28,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 83.0%; 135 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00118,FAC-ID-638,Home-Health,ID,IVX-717637,5.10.0,94.1,318,2024-12-18,2025-12-05,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 94.1%; 318 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00119,FAC-MN-559,Outpatient-Infusion,MN,IVX-446109,5.9.2,66.0,51,2024-10-23,2025-11-03,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 66.0%; 51 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00120,FAC-MN-861,Home-Health,MN,IVX-465951,5.10.1,80.0,178,2024-02-03,2025-12-15,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 80.0%; 178 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00121,FAC-GA-512,Home-Health,GA,IVX-682045,5.10.1,86.0,80,2025-08-06,2025-12-20,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.0%; 80 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00122,FAC-CA-246,Hospital-Community,CA,IVX-633673,5.10.0,88.4,292,2023-04-20,2025-11-08,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.4%; 292 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00123,FAC-MD-601,Hospital-Community,MD,IVX-836992,5.10.0,59.6,295,2025-06-09,2025-11-18,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 59.6%; 295 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00124,FAC-MD-444,Home-Health,MD,IVX-931087,5.9.3,63.2,260,2025-10-20,2025-11-03,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 63.2%; 260 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00125,FAC-MD-698,Hospital-Academic,MD,IVX-385191,5.9.3,99.0,254,2024-02-04,2025-11-20,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 99.0%; 254 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00126,FAC-CA-973,Hospital-Academic,CA,IVX-793628,5.10.1,93.7,26,2025-09-04,2025-11-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 93.7%; 26 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00127,FAC-SC-854,Hospital-Academic,SC,IVX-422284,5.9.3,65.1,313,2023-11-19,2025-11-08,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 65.1%; 313 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00128,FAC-OR-874,Hospital-Academic,OR,IVX-582102,5.10.0,60.9,301,2023-02-02,2025-11-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 60.9%; 301 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00129,FAC-SC-990,Hospital-Community,SC,IVX-808432,5.10.1,75.9,258,2023-09-21,2025-12-25,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 75.9%; 258 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00130,FAC-FL-451,Hospital-Academic,FL,IVX-414924,5.10.1,75.4,283,2023-11-28,2025-11-20,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 75.4%; 283 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00131,FAC-MI-224,Hospital-Academic,MI,IVX-730597,5.10.0,70.9,83,2024-11-23,2025-12-24,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 70.9%; 83 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00132,FAC-OR-477,Hospital-Community,OR,IVX-359240,5.10.1,69.8,297,2025-10-12,2025-11-19,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 69.8%; 297 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00133,FAC-NJ-253,Hospital-Community,NJ,IVX-949732,5.10.1,62.7,97,2023-10-01,2025-11-16,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 62.7%; 97 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00134,FAC-OK-903,Hospital-Academic,OK,IVX-118995,5.10.1,57.4,58,2025-12-17,2025-11-12,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 57.4%; 58 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00135,FAC-OR-583,Hospital-Community,OR,IVX-573027,5.10.2,88.7,250,2023-06-14,2025-12-08,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.7%; 250 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00136,FAC-OK-409,Hospital-Academic,OK,IVX-973782,5.10.0,51.2,35,2023-06-10,2025-11-13,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 51.2%; 35 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00137,FAC-WI-615,Home-Health,WI,IVX-440838,5.10.0,55.0,23,2023-06-23,2025-12-27,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.0%; 23 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00138,FAC-IL-678,Long-Term-Care,IL,IVX-472331,5.10.0,94.3,117,2023-12-21,2025-12-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 94.3%; 117 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00139,FAC-SC-711,Long-Term-Care,SC,IVX-915846,5.9.3,71.6,17,2024-08-07,2025-11-27,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.6%; 17 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00140,FAC-NE-924,Long-Term-Care,NE,IVX-913685,5.9.2,59.9,122,2024-02-26,2025-12-08,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 59.9%; 122 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00141,FAC-OR-303,Hospital-Academic,OR,IVX-948990,5.10.1,71.2,198,2025-08-07,2025-11-28,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.2%; 198 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00142,FAC-MD-772,Hospital-Community,MD,IVX-213082,5.9.3,85.2,196,2025-07-27,2025-11-27,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 85.2%; 196 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00143,FAC-MS-989,Home-Health,MS,IVX-370948,5.9.3,61.5,148,2024-11-23,2025-12-22,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 61.5%; 148 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00144,FAC-IL-227,Long-Term-Care,IL,IVX-357277,5.10.1,89.1,281,2025-03-11,2025-11-28,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 89.1%; 281 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00145,FAC-CO-659,Home-Health,CO,IVX-866760,5.10.0,64.4,126,2025-06-15,2025-11-14,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.4%; 126 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00146,FAC-FL-831,Hospital-Academic,FL,IVX-578710,5.10.0,56.3,109,2024-03-23,2025-11-06,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 56.3%; 109 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00147,FAC-SC-980,Hospital-Community,SC,IVX-828276,5.10.0,66.5,202,2024-06-07,2025-12-17,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 66.5%; 202 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00148,FAC-OK-963,Outpatient-Infusion,OK,IVX-238248,5.10.0,61.5,310,2025-09-07,2025-11-16,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 61.5%; 310 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00149,FAC-NV-332,Hospital-Community,NV,IVX-183413,5.9.2,89.0,274,2025-06-21,2025-12-13,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 89.0%; 274 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00150,FAC-TX-516,Home-Health,TX,IVX-708944,5.9.2,77.4,131,2025-07-01,2025-12-02,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 77.4%; 131 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00151,FAC-MN-846,Long-Term-Care,MN,IVX-151939,5.10.1,64.3,301,2024-05-04,2025-12-23,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.3%; 301 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00152,FAC-MN-925,Hospital-Academic,MN,IVX-281206,5.10.1,86.1,128,2024-12-17,2025-12-11,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.1%; 128 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00153,FAC-SC-610,Outpatient-Infusion,SC,IVX-379309,5.10.1,75.3,222,2023-10-26,2025-12-04,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 75.3%; 222 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00154,FAC-MS-146,Long-Term-Care,MS,IVX-839038,5.10.1,71.4,216,2023-08-04,2025-11-04,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.4%; 216 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00155,FAC-OK-879,Long-Term-Care,OK,IVX-935270,5.10.1,94.1,277,2025-12-22,2025-12-05,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 94.1%; 277 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00156,FAC-OR-953,Hospital-Community,OR,IVX-558631,5.10.1,48.9,149,2024-05-02,2025-12-12,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 48.9%; 149 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00157,FAC-MN-805,Hospital-Academic,MN,IVX-665550,5.10.1,88.0,153,2024-02-11,2025-12-27,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.0%; 153 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00158,FAC-CO-733,Hospital-Academic,CO,IVX-387585,5.9.2,72.1,245,2025-06-07,2025-11-05,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 72.1%; 245 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00159,FAC-FL-170,Home-Health,FL,IVX-887368,5.10.1,91.4,119,2025-02-27,2025-12-03,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 91.4%; 119 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00160,FAC-NJ-365,Hospital-Community,NJ,IVX-910565,5.10.0,75.6,107,2025-02-06,2025-12-28,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 75.6%; 107 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00161,FAC-VA-923,Outpatient-Infusion,VA,IVX-978142,5.9.3,69.1,316,2025-08-12,2025-12-10,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 69.1%; 316 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00162,FAC-IL-265,Hospital-Academic,IL,IVX-660066,5.10.0,56.5,35,2025-04-27,2025-11-01,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 56.5%; 35 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00163,FAC-NV-578,Outpatient-Infusion,NV,IVX-454097,5.10.0,72.8,268,2025-03-26,2025-12-20,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 72.8%; 268 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00164,FAC-SC-241,Hospital-Community,SC,IVX-587696,5.10.1,71.7,135,2023-12-20,2025-11-15,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.7%; 135 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00165,FAC-GA-243,Hospital-Community,GA,IVX-261713,5.10.1,81.9,17,2023-06-12,2025-11-06,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 81.9%; 17 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00166,FAC-CO-482,Hospital-Academic,CO,IVX-308142,5.10.0,77.9,176,2023-05-23,2025-12-22,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 77.9%; 176 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00167,FAC-MD-922,Home-Health,MD,IVX-959840,5.9.2,82.0,320,2023-04-16,2025-12-03,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 82.0%; 320 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00168,FAC-WA-678,Long-Term-Care,WA,IVX-238640,5.10.1,58.3,71,2025-02-17,2025-12-02,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 58.3%; 71 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00169,FAC-GA-602,Outpatient-Infusion,GA,IVX-646433,5.10.1,78.2,206,2025-08-03,2025-11-21,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 78.2%; 206 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00170,FAC-NJ-342,Outpatient-Infusion,NJ,IVX-462724,5.10.0,52.5,175,2023-05-22,2025-11-28,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 52.5%; 175 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00171,FAC-MI-746,Hospital-Community,MI,IVX-978188,5.10.1,75.7,230,2025-10-16,2025-12-06,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 75.7%; 230 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00172,FAC-MD-320,Hospital-Academic,MD,IVX-201010,5.10.0,95.5,232,2023-03-24,2025-11-21,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 95.5%; 232 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00173,FAC-WI-151,Long-Term-Care,WI,IVX-945868,5.10.0,86.5,45,2023-08-26,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.5%; 45 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00174,FAC-GA-513,Hospital-Academic,GA,IVX-201473,5.9.3,48.3,94,2025-01-08,2025-11-04,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 48.3%; 94 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00175,FAC-CO-362,Hospital-Academic,CO,IVX-325028,5.9.3,90.0,275,2025-03-02,2025-12-03,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 90.0%; 275 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00176,FAC-MN-592,Long-Term-Care,MN,IVX-155890,5.9.3,91.4,119,2023-03-02,2025-12-26,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 91.4%; 119 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00177,FAC-VA-469,Home-Health,VA,IVX-277991,5.10.1,56.2,248,2025-10-08,2025-12-26,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 56.2%; 248 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00178,FAC-MS-806,Outpatient-Infusion,MS,IVX-298385,5.10.1,55.5,139,2025-01-26,2025-12-12,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.5%; 139 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00179,FAC-OR-989,Long-Term-Care,OR,IVX-690255,5.10.1,55.3,236,2025-05-14,2025-11-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.3%; 236 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00180,FAC-MS-416,Home-Health,MS,IVX-661451,5.9.3,50.3,254,2023-03-12,2025-11-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 50.3%; 254 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00181,FAC-CA-482,Outpatient-Infusion,CA,IVX-611012,5.10.0,79.6,244,2024-06-25,2025-11-05,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 79.6%; 244 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00182,FAC-NJ-302,Long-Term-Care,NJ,IVX-879476,5.9.2,73.8,49,2024-12-04,2025-12-25,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 73.8%; 49 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00183,FAC-ID-514,Hospital-Academic,ID,IVX-111395,5.10.1,90.6,188,2025-12-19,2025-11-10,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 90.6%; 188 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00184,FAC-SC-652,Home-Health,SC,IVX-602244,5.9.3,89.1,286,2025-02-02,2025-11-17,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 89.1%; 286 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00185,FAC-SC-918,Outpatient-Infusion,SC,IVX-434608,5.10.1,84.7,153,2025-03-08,2025-12-12,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 84.7%; 153 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00186,FAC-IL-757,Hospital-Community,IL,IVX-248436,5.10.2,55.8,319,2025-09-06,2025-11-10,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.8%; 319 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00187,FAC-WI-122,Outpatient-Infusion,WI,IVX-367350,5.10.1,61.6,267,2025-04-09,2025-11-17,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 61.6%; 267 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00188,FAC-WA-260,Hospital-Academic,WA,IVX-394334,5.10.1,86.7,32,2023-01-09,2025-11-26,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.7%; 32 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00189,FAC-CA-394,Long-Term-Care,CA,IVX-147261,5.10.1,70.2,105,2023-08-15,2025-12-06,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 70.2%; 105 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00190,FAC-NJ-607,Home-Health,NJ,IVX-894079,5.9.2,64.4,133,2024-04-21,2025-12-19,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.4%; 133 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00191,FAC-OK-324,Home-Health,OK,IVX-135860,5.9.3,70.8,293,2023-12-01,2025-12-25,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 70.8%; 293 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00192,FAC-MN-795,Long-Term-Care,MN,IVX-377908,5.10.0,77.8,269,2023-03-16,2025-11-04,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 77.8%; 269 cycles; Recall Z-0885-2026; Product LVP-SW-0005
